fuente,archivo_relativo,nombre_archivo,columna,posicion_columna,tipo_inferido,filas_total,no_nulos,nulos,porcentaje_nulos,valores_unicos,porcentaje_cardinalidad,longitud_min_texto,longitud_max_texto,minimo_numerico,maximo_numerico,ejemplos_frecuentes,ejemplos_poco_frecuentes
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2010,53,float64,266,265,1,0.3759,263,98.8722,7,12,10241.0,6969894715.0,"[{""valor"":""1660546144.0"",""frecuencia"":2},{""valor"":""879797419.0"",""frecuencia"":2},{""valor"":""100341.0"",""frecuencia"":1},{""valor"":""523459657.0"",""frecuencia"":1},{""valor"":""28189672.0"",""frecuencia"":1}]","[{""valor"":""10000023.0"",""frecuencia"":1},{""valor"":""100341.0"",""frecuencia"":1},{""valor"":""10223270.0"",""frecuencia"":1},{""valor"":""10241.0"",""frecuencia"":1},{""valor"":""10270728.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2011,54,float64,266,265,1,0.3759,263,98.8722,7,12,10283.0,7053988749.0,"[{""valor"":""1684898004.0"",""frecuencia"":2},{""valor"":""904282154.0"",""frecuencia"":2},{""valor"":""101288.0"",""frecuencia"":1},{""valor"":""537792950.0"",""frecuencia"":1},{""valor"":""29249157.0"",""frecuencia"":1}]","[{""valor"":""101288.0"",""frecuencia"":1},{""valor"":""10243050.0"",""frecuencia"":1},{""valor"":""10283.0"",""frecuencia"":1},{""valor"":""10396246.0"",""frecuencia"":1},{""valor"":""104174038.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2012,55,float64,266,265,1,0.3759,263,98.8722,7,12,10444.0,7141430933.0,"[{""valor"":""1708706729.0"",""frecuencia"":2},{""valor"":""929328653.0"",""frecuencia"":2},{""valor"":""102112.0"",""frecuencia"":1},{""valor"":""552530654.0"",""frecuencia"":1},{""valor"":""30466479.0"",""frecuencia"":1}]","[{""valor"":""10014078.0"",""frecuencia"":1},{""valor"":""10030882.0"",""frecuencia"":1},{""valor"":""10108539.0"",""frecuencia"":1},{""valor"":""102112.0"",""frecuencia"":1},{""valor"":""103935318.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2013,56,float64,266,265,1,0.3759,263,98.8722,7,12,10694.0,7229458453.0,"[{""valor"":""1731683901.0"",""frecuencia"":2},{""valor"":""955096702.0"",""frecuencia"":2},{""valor"":""102880.0"",""frecuencia"":1},{""valor"":""567892149.0"",""frecuencia"":1},{""valor"":""31541209.0"",""frecuencia"":1}]","[{""valor"":""1005080882.0"",""frecuencia"":1},{""valor"":""10149577.0"",""frecuencia"":1},{""valor"":""10157051.0"",""frecuencia"":1},{""valor"":""10261206.0"",""frecuencia"":1},{""valor"":""102880.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2014,57,float64,266,265,1,0.3759,263,98.8722,7,12,10899.0,7317304568.0,"[{""valor"":""1754030304.0"",""frecuencia"":2},{""valor"":""981506608.0"",""frecuencia"":2},{""valor"":""103594.0"",""frecuencia"":1},{""valor"":""583651101.0"",""frecuencia"":1},{""valor"":""32716210.0"",""frecuencia"":1}]","[{""valor"":""101325201.0"",""frecuencia"":1},{""valor"":""1026805224.0"",""frecuencia"":1},{""valor"":""10282115.0"",""frecuencia"":1},{""valor"":""103496179.0"",""frecuencia"":1},{""valor"":""103594.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2015,58,float64,266,265,1,0.3759,263,98.8722,7,12,10877.0,7404251118.0,"[{""valor"":""1775545180.0"",""frecuencia"":2},{""valor"":""1008698799.0"",""frecuencia"":2},{""valor"":""104257.0"",""frecuencia"":1},{""valor"":""600008424.0"",""frecuencia"":1},{""valor"":""33753499.0"",""frecuencia"":1}]","[{""valor"":""1006259.0"",""frecuencia"":1},{""valor"":""1008605380.0"",""frecuencia"":1},{""valor"":""102471895.0"",""frecuencia"":1},{""valor"":""103031365.0"",""frecuencia"":1},{""valor"":""103257886.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2016,59,float64,266,265,1,0.3759,263,98.8722,7,12,10852.0,7490956237.0,"[{""valor"":""1797072648.0"",""frecuencia"":2},{""valor"":""1036155989.0"",""frecuencia"":2},{""valor"":""104874.0"",""frecuencia"":1},{""valor"":""616377605.0"",""frecuencia"":1},{""valor"":""34636207.0"",""frecuencia"":1}]","[{""valor"":""1023261.0"",""frecuencia"":1},{""valor"":""102994278.0"",""frecuencia"":1},{""valor"":""10325452.0"",""frecuencia"":1},{""valor"":""1036061312.0"",""frecuencia"":1},{""valor"":""104874.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2017,60,float64,266,265,1,0.3759,263,98.8722,7,12,10828.0,7577110140.0,"[{""valor"":""1818931519.0"",""frecuencia"":2},{""valor"":""1063885274.0"",""frecuencia"":2},{""valor"":""105439.0"",""frecuencia"":1},{""valor"":""632746570.0"",""frecuencia"":1},{""valor"":""35643418.0"",""frecuencia"":1}]","[{""valor"":""10057698.0"",""frecuencia"":1},{""valor"":""101789386.0"",""frecuencia"":1},{""valor"":""10215381.0"",""frecuencia"":1},{""valor"":""102740078.0"",""frecuencia"":1},{""valor"":""10300300.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2018,61,float64,266,265,1,0.3759,263,98.8722,7,12,10865.0,7661177849.0,"[{""valor"":""1840534093.0"",""frecuencia"":2},{""valor"":""1092403973.0"",""frecuencia"":2},{""valor"":""105962.0"",""frecuencia"":1},{""valor"":""649757148.0"",""frecuencia"":1},{""valor"":""36686784.0"",""frecuencia"":1}]","[{""valor"":""10175214.0"",""frecuencia"":1},{""valor"":""1022731692.0"",""frecuencia"":1},{""valor"":""102538451.0"",""frecuencia"":1},{""valor"":""10283822.0"",""frecuencia"":1},{""valor"":""103740765.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,2019,62,float64,266,265,1,0.3759,263,98.8722,7,12,10956.0,7742724795.0,"[{""valor"":""1861598514.0"",""frecuencia"":2},{""valor"":""1121549049.0"",""frecuencia"":2},{""valor"":""106442.0"",""frecuencia"":1},{""valor"":""667242986.0"",""frecuencia"":1},{""valor"":""37769499.0"",""frecuencia"":1}]","[{""valor"":""10024283.0"",""frecuencia"":1},{""valor"":""102398537.0"",""frecuencia"":1},{""valor"":""10278887.0"",""frecuencia"":1},{""valor"":""10286263.0"",""frecuencia"":1},{""valor"":""10447666.0"",""frecuencia"":1}]"
