fuente,archivo_relativo,nombre_archivo,columna,tipo_deteccion,valor_especial_detectado,frecuencia,ejemplos
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Died,NON_ASCII,<NON_ASCII>,6065,"[""2 October 1960 in Saint-Jean-de-Luz, Pyrénées-Atlantiques (FRA)"",""17 July 1994 in Arbonne, Pyrénées-Atlantiques (FRA)"",""1 August 1986 in Nîmes, Gard (FRA)"",""19 April 1942 in Oświęcim, Małopolskie (POL)"",""12 October 1996 in Saint-Jean-de-Luz, Pyrénées-Atlantiques (FRA)"",""13 April 1965 in Mérignac, Gironde (FRA)"",""26 October 1956 in Saint Brélade, Jersey (JER)"",""2 April 1976 in Fürstenfeldbruck, Bayern (GER)"",""10 January 1949 in Pula, Istarska županija (CRO)"",""6 October 2020 in Curridabat, San José (CRC)""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,NOC,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,NOC,NON_ASCII,<NON_ASCII>,1060,"[""Côte d'Ivoire"",""Türkiye"",""Georgia Türkiye"",""Russian Federation Türkiye Unified Team"",""Türkiye Ukraine"",""Belarus Türkiye Unified Team"",""Côte d'Ivoire France"",""São Tomé and Príncipe"",""Türkiye Unified Team"",""Belarus Türkiye""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Measurements,EMPTY_STRING,<EMPTY_STRING>,37667,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Affiliations,EMPTY_STRING,<EMPTY_STRING>,49668,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Affiliations,NON_ASCII,<NON_ASCII>,18018,"[""AS Pontoise-Cergy TT, Pontoise (FRA) / Royal Villette Charleroi, Charleroi (BEL) / Espérance de Reuilly Tennis de Table, Paris (FRA) / Levallois SCTT, Levall..."",""Saarbrücken, GER"",""TC Brühl, Brühl (GER)"",""Rot-Weiß Berlin, Berlin (GER)"",""TSG Dülmen, Dülmen (GER)"",""TSG Dülmen / Bayer Uerdingen / SV Winterwerb / TV Busenbach"",""Spvg Steinhagen, Steinhagen (GER) / TSG Dülmen, Dülmen (GER) / FSV Kroppach, Kroppach (GER)"",""TK Grün-Weiß Mannheim, Mannheim (GER)"",""TTC Grenzau, Höhr-Grenzhausen (GER)"",""Borussia Düsseldorf, Düsseldorf (GER)""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Nick/petnames,EMPTY_STRING,<EMPTY_STRING>,136355,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Nick/petnames,SPECIAL_TOKEN,Nan,1,"[""Nan""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Nick/petnames,SPECIAL_TOKEN,DQ,1,"[""DQ""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Nick/petnames,NON_ASCII,<NON_ASCII>,659,"[""Le vengeur masqué"",""Fräulein Forehand"",""Decskó"",""Kössi"",""Černý"",""Le Kaïd"",""el Volcán"",""El Olímpico"",""El Héroe de Parma"",""El Rascacielos Pinareño, King Kong""]"
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,Title(s),EMPTY_STRING,<EMPTY_STRING>,145101,"[""<EMPTY_STRING>""]"
