id_secundario,nombre_secundario,id_canonico,nombre_canonico,norm_name,sexo,nocs,part_secundario,part_canonico
223189,Gustav Fjstad,223188,Gustav Fjstad,gustav fjstad,male,200,1,1
223197,Edwin Flack,223196,Edwin Flack,edwin flack,male,14,1,1
223198,Edwin Flack,223196,Edwin Flack,edwin flack,male,14,1,1
223199,Edwin Flack,223196,Edwin Flack,edwin flack,male,14,1,1
223200,Edwin Flack,223196,Edwin Flack,edwin flack,male,14,1,1
223202,Helge (-flatby),223201,Helge (-flatby),helge (-flatby),male,155,1,1
223205,John Flaherty,223204,John Flaherty,john flaherty,male,78,1,1
223206,John Flaherty,223204,John Flaherty,john flaherty,male,78,1,1
223207,John Flaherty,223204,John Flaherty,john flaherty,male,78,1,1
223208,John Flaherty,223204,John Flaherty,john flaherty,male,78,1,1
223209,John Flaherty,223204,John Flaherty,john flaherty,male,78,1,1
223210,John Flaherty,223204,John Flaherty,john flaherty,male,78,1,1
223211,John Flaherty,223204,John Flaherty,john flaherty,male,78,1,1
223217,Marie Flameng,223216,Marie Flameng,marie flameng,male,73,1,1
223218,Marie Flameng,223216,Marie Flameng,marie flameng,male,73,1,1
223219,Marie Flameng,223216,Marie Flameng,marie flameng,male,73,1,1
223237,Shalane (-edwards),223236,Shalane (-edwards),shalane (-edwards),female,223,1,1
223238,Shalane (-edwards),223236,Shalane (-edwards),shalane (-edwards),female,223,1,1
223239,Shalane (-edwards),223236,Shalane (-edwards),shalane (-edwards),female,223,1,1
223240,Shalane (-edwards),223236,Shalane (-edwards),shalane (-edwards),female,223,1,1
223251,Eduardo Vzquez,223250,Eduardo Vzquez,eduardo vzquez,male,67,1,1
223252,Eduardo Vzquez,223250,Eduardo Vzquez,eduardo vzquez,male,67,1,1
223254,Solrun (-risnes),223253,Solrun (-risnes),solrun (-risnes),female,155,1,1
223271,Kenneth Flax,223270,Kenneth Flax,kenneth flax,male,223,1,1
223283,Ulla (-macho),223282,Ulla (-macho),ulla (-macho),female,15,1,1
223288,Othilie -grote),223287,Othilie -grote),othilie -grote),female,83,1,1
223289,Othilie -grote),223287,Othilie -grote),othilie -grote),female,83,1,1
223290,Othilie -grote),223287,Othilie -grote),othilie -grote),female,83,1,1
223307,James Flemming,223306,James Flemming,james flemming,male,103,1,1
223312,Jean-Paul Soler,223311,Jean-Paul Soler,jean-paul soler,male,140,1,1
223316,Siegfried Flesch,223315,Siegfried Flesch,siegfried flesch,male,15,1,1
223325,Barbara (-evans),223324,Barbara (-evans),barbara (-evans),female,14,1,1
223326,Barbara (-evans),223324,Barbara (-evans),barbara (-evans),female,14,1,1
223327,Barbara (-evans),223324,Barbara (-evans),barbara (-evans),female,14,1,1
223328,Barbara (-evans),223324,Barbara (-evans),barbara (-evans),female,14,1,1
223336,Jennie (-hyslop),223335,Jennie (-hyslop),jennie (-hyslop),female,78,1,1
223340,Rosamund Fletcher,223339,Rosamund Fletcher,rosamund fletcher,female,78,1,1
223341,Rosamund Fletcher,223339,Rosamund Fletcher,rosamund fletcher,female,78,1,1
223356,Catherine Fleury-vachon,223355,Catherine Fleury-vachon,catherine fleury-vachon,female,73,1,1
223365,Charlotta (-saigeon),223364,Charlotta (-saigeon),charlotta (-saigeon),female,92,1,1
223366,Charlotta (-saigeon),223364,Charlotta (-saigeon),charlotta (-saigeon),female,92,1,1
223367,Charlotta (-saigeon),223364,Charlotta (-saigeon),charlotta (-saigeon),female,92,1,1
223368,Charlotta (-saigeon),223364,Charlotta (-saigeon),charlotta (-saigeon),female,92,1,1
223370,Robert Flinn,223369,Robert Flinn,robert flinn,male,38,1,1
223374,Reginald Flint,223373,Reginald Flint,reginald flint,male,78,1,1
223378,Debra Flintoff-king,223377,Debra Flintoff-king,debra flintoff-king,female,14,1,1
223383,Jeffrey Float,223382,Jeffrey Float,jeffrey float,male,223,1,1
223393,Gran Flodstrm,223392,Gran Flodstrm,gran flodstrm,male,200,1,1
223395,Kristina Flognman,223394,Kristina Flognman,kristina flognman,female,200,1,1
223397,Deborah Flood,223396,Deborah Flood,deborah flood,female,78,1,1
223398,Deborah Flood,223396,Deborah Flood,deborah flood,female,78,1,1
223404,Nilo Buxton,223403,Nilo Buxton,nilo buxton,male,42,1,1
223405,Nilo Buxton,223403,Nilo Buxton,nilo buxton,male,42,1,1
223406,Nilo Buxton,223403,Nilo Buxton,nilo buxton,male,42,1,1
223407,Nilo Buxton,223403,Nilo Buxton,nilo buxton,male,42,1,1
223409,Christopher Flook,223408,Christopher Flook,christopher flook,male,23,1,1
223421,Rzvan Florea,223420,Rzvan Florea,rzvan florea,male,175,1,1
223422,Rzvan Florea,223420,Rzvan Florea,rzvan florea,male,175,1,1
223423,Rzvan Florea,223420,Rzvan Florea,rzvan florea,male,175,1,1
223424,Rzvan Florea,223420,Rzvan Florea,rzvan florea,male,175,1,1
223425,Rzvan Florea,223420,Rzvan Florea,rzvan florea,male,175,1,1
223426,Rzvan Florea,223420,Rzvan Florea,rzvan florea,male,175,1,1
223427,Rzvan Florea,223420,Rzvan Florea,rzvan florea,male,175,1,1
223429,Rodica Florea-erban,223428,Rodica Florea-erban,rodica florea-erban,female,175,1,1
