id_evento_secundario,nombre_secundario,id_evento_canonico,nombre_canonico,deporte,disciplina,part_secundario,part_canonico
931,"Light-Heavyweight, Freestyle, Men (Olympic)",922,"Light-Heavyweight, Men (Olympic)",Weightlifting,Weightlifting,1,699
2324,Athletics Women's 20 kilometres Walk,936,"20 kilometres Race Walk, Women (Olympic)",Athletics,Athletics,407,352
1994,"Wrestling Men's Featherweight, Freestyle",942,"Featherweight, Freestyle, Men (Olympic)",Wrestling,Wrestling Freestyle,1,708
2292,Sailing Women's One Person Dinghy,982,"One Person Dinghy, Women (Olympic)",Sailing,Sailing,1,366
983,"Multihull, Open (Olympic)",1012,"Multihull, Mixed (Olympic)",Sailing,Sailing,317,563
2387,Sailing Mixed Two Person Dinghy,985,"Two Person Dinghy, Open (Olympic)",Sailing,Sailing,182,140
2301,Sailing Mixed 5.5 metres,986,"5.5 metres, Open (Olympic)",Sailing,Sailing,319,228
2121,Sailing Mixed 7 metres,987,"7 metres, Open (Olympic)",Sailing,Sailing,16,12
1995,Sailing Mixed Two Person Heavyweight Dinghy,988,"Two Person Heavyweight Dinghy, Open (Olympic)",Sailing,Sailing,580,448
2251,Sailing Men's Windsurfer,989,"Windsurfer, Men (Olympic)",Sailing,Sailing,1,515
2348,Sailing Mixed Windsurfer,992,"Windsurfer, Open (Olympic)",Sailing,Sailing,61,45
2357,Sailing Mixed Open,993,"Open, Open (Olympic)",Sailing,Sailing,112,79
2358,Sailing Mixed 1-2 Ton,994,"1-2 Ton, Open (Olympic)",Sailing,Sailing,28,22
2382,Sailing Mixed 12 metres,995,"12 metres, Open (Olympic)",Sailing,Sailing,91,65
2479,Sailing Mixed 10 metres,998,"10 metres, Open (Olympic)",Sailing,Sailing,54,42
2507,"Art Competitions Mixed Music, Compositions For Orchestra",1000,"Music, Compositions For Orchestra, Open (Olympic)",Art Competitions,Art Competitions,46,1
2553,Sailing Mixed 12 foot,1003,"12 foot, Open (Olympic)",Sailing,Sailing,8,5
2558,Sailing Mixed 10-20 Ton,1004,"10-20 Ton, Open (Olympic)",Sailing,Sailing,8,7
2568,Sailing Mixed 2-3 Ton,1005,"2-3 Ton, Open (Olympic)",Sailing,Sailing,18,11
2435,Sailing Mixed Skiff,1006,"Skiff, Open (Olympic)",Sailing,Sailing,144,110
2602,Sailing Mixed 20+ Ton,1008,"20+ Ton, Open (Olympic)",Sailing,Sailing,7,4
2611,Sailing Mixed 6.5 metres,1009,"6.5 metres, Open (Olympic)",Sailing,Sailing,10,6
2639,Sailing Mixed 3-10 Ton,1010,"3-10 Ton, Open (Olympic)",Sailing,Sailing,28,21
2074,Athletics Women's 200 metres,1014,"200 metres, Women (Olympic)",Athletics,Athletics,2,1438
2066,"Athletics Men's 3,000 metres Steeplechase",1019,"3,000 metres Steeplechase, Men (Olympic)",Athletics,Athletics,2,1192
1973,"Athletics Men's 5,000 metres",1020,"5,000 metres, Men (Olympic)",Athletics,Athletics,1,1737
2043,"Athletics Men's 10,000 metres",1023,"10,000 metres, Men (Olympic)",Athletics,Athletics,1,1523
1911,Athletics Women's 100 metres,1025,"100 metres, Women (Olympic)",Athletics,Athletics,2,1883
2381,Athletics Women's 10 kilometres Walk,1034,"10 kilometres Race Walk, Women (Olympic)",Athletics,Athletics,132,88
2323,Athletics Men's 10 kilometres Walk,1039,"10 kilometres Race Walk, Men (Olympic)",Athletics,Athletics,154,122
2589,"Athletics Men's 3,500 metres Walk",1050,"3,500 metres Race Walk, Men (Olympic)",Athletics,Athletics,37,25
2469,"Athletics Men's 3,000 metres Walk",1052,"3,000 metres Race Walk, Men (Olympic)",Athletics,Athletics,35,24
1098,"Heavyweight, Freestyle, Men (Olympic)",1072,"Heavyweight, Men (Olympic)",Athletics,Athletics,2,2
2556,"Art Competitions Mixed Literature, Dramatic Works",1129,"Literature, Dramatic Works, Open (Olympic)",Art Competitions,Art Competitions,14,1
1909,Cross Country Skiing Men's 4 x 10 kilometres Relay,1132,"4 × 10 kilometres Relay, Men (Olympic)",Skiing,Cross Country Skiing,1114,1212
2142,Figure Skating Mixed Pairs,1135,"Pairs, Mixed (Olympic)",Skating,Figure Skating,714,793
1962,Cross Country Skiing Men's 15 kilometres,1136,"15 kilometres, Men (Olympic)",Skiing,Cross Country Skiing,999,1203
1910,Cross Country Skiing Men's 30 kilometres,1137,"30 kilometres, Men (Olympic)",Skiing,Cross Country Skiing,891,894
2399,Art Competitions Mixed Sculpturing,1175,"Sculpturing, Open (Olympic)",Art Competitions,Art Competitions,120,1
1197,"100 metres, Men (Intercalated)",1177,"100 metres Freestyle, Men (Intercalated)",Gymnastics,Artistic Gymnastics,1,1
2020,Alpine Skiing Women's Slalom,1218,"Slalom, Women (Olympic)",Skiing,Alpine Skiing,966,1118
2148,Cross Country Skiing Women's 5 kilometres,1219,"5 kilometres, Women (Olympic)",Skiing,Cross Country Skiing,501,502
2149,Cross Country Skiing Women's 10 kilometres,1220,"10 kilometres, Women (Olympic)",Skiing,Cross Country Skiing,667,846
2150,Cross Country Skiing Women's 20 kilometres,1221,"20 kilometres, Women (Olympic)",Skiing,Cross Country Skiing,95,98
2168,Figure Skating Women's Singles,1222,"Singles, Women (Olympic)",Skating,Figure Skating,564,613
2182,Cross Country Skiing Women's 3 x 5 kilometres Relay,1223,"3 × 5 kilometres Relay, Women (Olympic)",Skiing,Cross Country Skiing,126,126
2164,"Speed Skating Women's 1,500 metres",1228,"1,500 metres, Women (Olympic)",Skating,Speed Skating,474,745
2534,"Short Track Speed Skating Women's 1,500 metres",1228,"1,500 metres, Women (Olympic)",Skating,Speed Skating,129,745
2269,Alpine Skiing Women's Downhill,1229,"Downhill, Women (Olympic)",Skiing,Alpine Skiing,708,792
