id_evento_secundario,nombre_secundario,id_evento_canonico,nombre_canonico,deporte,disciplina,part_secundario,part_canonico
2292,Sailing Women's One Person Dinghy,982,"One Person Dinghy, Women (Olympic)",Sailing,Sailing,278,252
2030,Sailing Women's Three Person Keelboat,984,"Three Person Keelboat, Women (Olympic)",Sailing,Sailing,173,129
1011,"Windsurfer, Men (Olympic (non-medal))",989,"Windsurfer, Men (Olympic)",Sailing,Sailing,3,329
2251,Sailing Men's Windsurfer,989,"Windsurfer, Men (Olympic)",Sailing,Sailing,421,329
2203,Sailing Men's One Person Dinghy,990,"One Person Dinghy, Men (Olympic)",Sailing,Sailing,307,278
2326,Sailing Men's One Person Heavyweight Dinghy,991,"One Person Heavyweight Dinghy, Men (Olympic)",Sailing,Sailing,64,66
1948,Sailing Men's Two Person Dinghy,997,"Two Person Dinghy, Men (Olympic)",Sailing,Sailing,599,518
2483,Sailing Men's Two Person Keelboat,1001,"Two Person Keelboat, Men (Olympic)",Sailing,Sailing,119,98
2362,Sailing Mixed Multihull,1012,"Multihull, Mixed (Olympic)",Sailing,Sailing,479,80
3029,Mixed Multihull,1012,"Multihull, Mixed (Olympic)",Sailing,Sailing,38,80
2014,Athletics Men's 400 metres Hurdles,1013,"400 metres Hurdles, Men (Olympic)",Athletics,Athletics,1091,893
2074,Athletics Women's 200 metres,1014,"200 metres, Women (Olympic)",Athletics,Athletics,1163,868
2156,Athletics Women's 800 metres,1015,"800 metres, Women (Olympic)",Athletics,Athletics,835,608
2131,"Athletics Women's 1,500 metres",1016,"1,500 metres, Women (Olympic)",Athletics,Athletics,651,480
1969,Athletics Women's Javelin Throw,1017,"Javelin Throw, Women (Olympic)",Athletics,Athletics,736,535
2888,Women's Javelin Throw,1017,"Javelin Throw, Women (Olympic)",Athletics,Athletics,62,535
2280,Athletics Women's Heptathlon,1018,"Heptathlon, Women (Olympic)",Athletics,Athletics,400,320
2787,Women's Heptathlon,1018,"Heptathlon, Women (Olympic)",Athletics,Athletics,47,320
2066,"Athletics Men's 3,000 metres Steeplechase",1019,"3,000 metres Steeplechase, Men (Olympic)",Athletics,Athletics,949,815
1973,"Athletics Men's 5,000 metres",1020,"5,000 metres, Men (Olympic)",Athletics,Athletics,1347,1157
2043,"Athletics Men's 10,000 metres",1023,"10,000 metres, Men (Olympic)",Athletics,Athletics,1200,991
2199,Athletics Women's High Jump,1024,"High Jump, Women (Olympic)",Athletics,Athletics,888,617
2986,Women's High Jump,1024,"High Jump, Women (Olympic)",Athletics,Athletics,63,617
1911,Athletics Women's 100 metres,1025,"100 metres, Women (Olympic)",Athletics,Athletics,1572,1151
2129,Athletics Women's Discus Throw,1026,"Discus Throw, Women (Olympic)",Athletics,Athletics,772,552
2847,Women's Discus Throw,1026,"Discus Throw, Women (Olympic)",Athletics,Athletics,63,552
2236,Athletics Women's 100 metres Hurdles,1027,"100 metres Hurdles, Women (Olympic)",Athletics,Athletics,618,465
2120,"Athletics Women's 10,000 metres",1028,"10,000 metres, Women (Olympic)",Athletics,Athletics,417,320
2002,Athletics Women's Marathon,1029,"Marathon, Women (Olympic)",Athletics,Athletics,1086,829
2866,Women's Marathon,1029,"Marathon, Women (Olympic)",Athletics,Athletics,179,829
1996,Athletics Women's Shot Put,1030,"Shot Put, Women (Olympic)",Athletics,Athletics,584,440
2762,Women's Shot Put,1030,"Shot Put, Women (Olympic)",Athletics,Athletics,63,440
2325,Athletics Women's 80 metres Hurdles,1031,"80 metres Hurdles, Women (Olympic)",Athletics,Athletics,334,210
2514,Athletics Women's Hammer Throw,1032,"Hammer Throw, Women (Olympic)",Athletics,Athletics,260,225
2872,Women's Hammer Throw,1032,"Hammer Throw, Women (Olympic)",Athletics,Athletics,63,225
2094,"Athletics Women's 5,000 metres",1033,"5,000 metres, Women (Olympic)",Athletics,Athletics,346,277
2177,Athletics Women's 400 metres Hurdles,1035,"400 metres Hurdles, Women (Olympic)",Athletics,Athletics,433,343
2187,Athletics Women's Pentathlon,1036,"Pentathlon, Women (Olympic)",Athletics,Athletics,202,129
1164,"5 miles, Men (Olympic (non-medal))",1037,"5 miles, Men (Olympic)",Athletics,Athletics,3,60
2454,Athletics Men's Pentathlon,1046,"Pentathlon, Men (Olympic)",Athletics,Athletics,111,105
2216,Athletics Men's Standing High Jump,1049,"Standing High Jump, Men (Olympic)",Athletics,Athletics,79,79
2400,"Athletics Men's Cross-Country, Individual",1051,"Cross-Country, Individual, Men (Olympic)",Athletics,Athletics,191,160
2566,Athletics Men's 60 metres,1053,"60 metres, Men (Olympic)",Athletics,Athletics,32,23
2545,"Athletics Men's 5,000 metres, Team",1055,"5,000 metres, Team, Men (Olympic)",Athletics,Athletics,14,10
2599,"Athletics Men's Discus Throw, Both Hands",1056,"Discus Throw, Both Hands, Men (Olympic)",Athletics,Athletics,28,37
2237,"Athletics Men's Discus Throw, Greek Style",1057,"Discus Throw, Greek Style, Men (Olympic)",Athletics,Athletics,58,59
2615,"Athletics Men's 2,500 metres Steeplechase",1058,"2,500 metres Steeplechase, Men (Olympic)",Athletics,Athletics,7,10
2524,"Athletics Men's 3,200 metres Steeplechase",1060,"3,200 metres Steeplechase, Men (Olympic)",Athletics,Athletics,32,33
2417,"Athletics Men's 3,000 metres, Team",1061,"3,000 metres, Team, Men (Olympic)",Athletics,Athletics,144,123
2401,"Athletics Men's Cross-Country, Team",1062,"Cross-Country, Team, Men (Olympic)",Athletics,Athletics,168,121
1106,"Standing Triple Jump, Men (Olympic (non-medal))",1063,"Standing Triple Jump, Men (Olympic)",Athletics,Athletics,1,24
2535,Athletics Men's Standing Triple Jump,1063,"Standing Triple Jump, Men (Olympic)",Athletics,Athletics,21,24
2311,"Athletics Men's Javelin Throw, Freestyle",1065,"Javelin Throw, Freestyle, Men (Olympic)",Athletics,Athletics,74,60
2563,"Athletics Men's 1,600 metres Medley Relay",1068,"1,600 metres Medley Relay, Men (Olympic)",Athletics,Athletics,45,29
2612,Athletics Men's 200 metres Hurdles,1073,"200 metres Hurdles, Men (Olympic)",Athletics,Athletics,23,20
2544,"Athletics Men's 4,000 metres Steeplechase",1074,"4,000 metres Steeplechase, Men (Olympic)",Athletics,Athletics,12,8
2096,Weightlifting Women's Heavyweight,1078,"Heavyweight, Women (Olympic)",Weightlifting,Weightlifting,97,80
2316,"Athletics Women's 3,000 metres Steeplechase",1083,"3,000 metres Steeplechase, Women (Olympic)",Athletics,Athletics,203,184
2317,"Athletics Men's Shot Put, Both Hands",1084,"Shot Put, Both Hands, Men (Olympic)",Athletics,Athletics,9,20
2125,Biathlon Men's 20 kilometres,1087,"20 kilometres, Men (Olympic)",Biathlon,Biathlon,1018,1185
1100,"Discus Throw, Men (Olympic)",1099,"Shot Put, Men (Olympic)",Olympic,"Shot Put, Men",1,1
2622,"Athletics Men's 2,590 metres Steeplechase",1101,"2,590 metres Steeplechase, Men (Olympic)",Athletics,Athletics,9,10
1107,"Stone Throw, Men (Olympic (non-medal))",2310,Athletics Men's Stone Throw,Athletics,Athletics,2,21
2617,Athletics Men's All-Around Championship,1108,"All-Around Championship, Men (Olympic)",Athletics,Athletics,10,7
1110,Ski Jumping (Skiing),1322,Ski Jumping (Skiing),Skiing,Nordic Combined,37,90
1316,Ski Jumping (Skiing),1322,Ski Jumping (Skiing),Skiing,Nordic Combined,7,90
1331,Ski Jumping (Skiing),1322,Ski Jumping (Skiing),Skiing,Nordic Combined,1,90
1111,"Large Hill, Individual, Men (Olympic)",1282,"Large Hill, Individual, Men (Olympic)",Skiing,Ski Jumping,37,1176
1317,"Large Hill, Individual, Men (Olympic)",1282,"Large Hill, Individual, Men (Olympic)",Skiing,Ski Jumping,7,1176
1323,"Large Hill, Individual, Men (Olympic)",1282,"Large Hill, Individual, Men (Olympic)",Skiing,Ski Jumping,57,1176
1332,"Large Hill, Individual, Men (Olympic)",1282,"Large Hill, Individual, Men (Olympic)",Skiing,Ski Jumping,1,1176
2318,"Ski Jumping Men's Large Hill, Individual",1282,"Large Hill, Individual, Men (Olympic)",Skiing,Ski Jumping,810,1176
1320,Nordic Combined (Skiing),1112,Nordic Combined (Skiing),Skiing,Cross Country Skiing,10,146
1329,Nordic Combined (Skiing),1112,Nordic Combined (Skiing),Skiing,Cross Country Skiing,1,146
1419,Nordic Combined (Skiing),1112,Nordic Combined (Skiing),Skiing,Cross Country Skiing,6,146
1366,"15 kilometres, Men (Olympic)",1136,"15 kilometres, Men (Olympic)",Skiing,Cross Country Skiing,3,1200
1373,"30 kilometres, Men (Olympic)",1137,"30 kilometres, Men (Olympic)",Skiing,Cross Country Skiing,2,892
1168,"Pole Vault, Boys (Olympic (non-medal))",1574,"Pole Vault, Boys (YOG)",Athletics,Athletics,1,2
1186,"20 kilometres, Men (Intercalated)",1185,"Sprint, Men (Intercalated)",Intercalated,"Sprint, Men",1,1
2630,Basque Pelota Men's Two-Man Teams With Cesta,1212,"Two-Man Teams With Cesta, Men (Olympic)",Basque Pelota,Basque Pelota,4,2
1941,Luge Women's Singles,1217,"Singles, Women (Olympic)",Luge,Luge,365,426
1917,Biathlon Women's 7.5 kilometres Sprint,1224,"7.5 kilometres Sprint, Women (Olympic)",Biathlon,Biathlon,531,700
2208,Biathlon Women's 15 kilometres,1225,"15 kilometres, Women (Olympic)",Biathlon,Biathlon,523,693
2209,Biathlon Women's 3 x 7.5 kilometres Relay,1226,"3 × 7.5 kilometres Relay, Women (Olympic)",Biathlon,Biathlon,48,48
2210,Biathlon Women's 4 x 7.5 kilometres Relay,1227,"4 × 7.5 kilometres Relay, Women (Olympic)",Biathlon,Biathlon,196,196
1248,"1,500 metres, Women (Olympic (non-medal))",1228,"1,500 metres, Women (Olympic)",Skating,Speed Skating,18,533
1270,"1,500 metres, Women (Olympic)",1228,"1,500 metres, Women (Olympic)",Skating,Speed Skating,194,533
1434,"Giant Slalom, Women (Olympic)",1230,"Giant Slalom, Women (Olympic)",Skiing,Alpine Skiing,32,1107
1247,"1,000 metres, Women (Olympic (non-medal))",1236,"1,000 metres, Women (Olympic)",Skating,Speed Skating,18,559
1250,"1,000 metres, Women (Olympic)",1236,"1,000 metres, Women (Olympic)",Skating,Speed Skating,244,559
1528,"3,000 metres Relay, Women (Olympic)",1237,"3,000 metres Relay, Women (Olympic)",Skating,Short Track Speed Skating,2,341
2341,Biathlon Women's 10 kilometres Pursuit,1238,"10 kilometres Pursuit, Women (Olympic)",Biathlon,Biathlon,227,357
2343,Biathlon Women's 4 x 6 kilometres Relay,1239,"4 × 6 kilometres Relay, Women (Olympic)",Biathlon,Biathlon,216,359
1245,"500 metres, Women (Olympic)",1241,"500 metres, Women (Olympic)",Skating,Speed Skating,271,527
1246,"500 metres, Women (Olympic (non-medal))",1241,"500 metres, Women (Olympic)",Skating,Speed Skating,19,527
1664,"Super G, Women (Olympic)",1242,"Super G, Women (Olympic)",Skiing,Alpine Skiing,1,490
2342,Biathlon Women's 12.5 kilometres Mass Start,1259,"12.5 kilometres Mass Start, Women (Olympic)",Biathlon,Biathlon,90,148
