fuente,valor_fuente,deporte_final,disciplina_final,criterio,evidencia_referencia,estado,filas_afectadas
fuente1,Basketball (Basketball),Basketball,Basketball,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,4826
fuente1,Basque pelota,Basque Pelota,Basque Pelota,denominación histórica documentada en la evolución del programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,2
fuente1,Beach Volleyball (Volleyball),Volleyball,Beach Volleyball,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,652
fuente1,Biathlon,Biathlon,Biathlon,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,7138
fuente1,Bicycle Polo (Cycling),Cycling,Bicycle Polo,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,1
fuente1,Bobsleigh (Bobsleigh),Bobsleigh,Bobsleigh,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,3576
fuente1,Boxing,Boxing,Boxing,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,6422
fuente1,Canoe Marathon (Canoeing),Canoeing,Canoe Marathon,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,186
fuente1,Canoe Slalom (Canoeing),Canoeing,Canoe Slalom,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,900
fuente1,Canoe Sprint (Canoeing),Canoeing,Canoe Sprint,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,5767
fuente1,Cricket,Cricket,Cricket,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,24
fuente1,Croquet,Croquet,Croquet,denominación histórica documentada en la evolución del programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,20
fuente1,Cross Country Skiing (Skiing),Skiing,Cross Country Skiing,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,11791
fuente1,Curling,Curling,Curling,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,923
fuente1,Cycling BMX Freestyle (Cycling),Cycling,BMX Freestyle,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,17
fuente1,Cycling BMX Racing (Cycling),Cycling,BMX Racing,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,188
fuente1,Cycling Mountain Bike (Cycling),Cycling,Mountain Bike,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,524
fuente1,Cycling Road (Cycling),Cycling,Cycling Road,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,6788
fuente1,Cycling Track (Cycling),Cycling,Cycling Track,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,4505
fuente1,Diving (Aquatics),Aquatics,Diving,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,3169
fuente1,Equestrian Dressage (Equestrian),Equestrian,Equestrian Dressage,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,1506
fuente1,Equestrian Driving (Equestrian),Equestrian,Equestrian Driving,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,28
fuente1,Equestrian Eventing (Equestrian),Equestrian,Equestrian Eventing,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,2347
fuente1,Equestrian Jumping (Equestrian),Equestrian,Equestrian Jumping,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,2916
fuente1,Equestrian Vaulting (Equestrian),Equestrian,Equestrian Vaulting,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,26
fuente1,Fencing,Fencing,Fencing,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,12156
fuente1,Figure Skating (Skating),Skating,Figure Skating,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,2952
fuente1,Football (Football),Football,Football,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,7525
fuente1,Freestyle Skiing (Skiing),Skiing,Freestyle Skiing,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,1837
fuente1,Glíma,Glíma,Glíma,denominación histórica documentada en la evolución del programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,1
fuente1,Golf,Golf,Golf,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,506
fuente1,Handball,Handball,Handball,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,4058
fuente1,Hockey,Hockey,Hockey,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,5950
fuente1,Hockey 5s,Hockey,Hockey 5s,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,4
fuente1,Ice Hockey (Ice Hockey),Ice Hockey,Ice Hockey,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,6796
fuente1,Jeu De Paume,Jeu de Paume,Jeu de Paume,denominación histórica documentada en la evolución del programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,17
fuente1,Judo,Judo,Judo,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,4351
fuente1,Karate,Karate,Karate,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,81
fuente1,Lacrosse,Lacrosse,Lacrosse,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,61
fuente1,Luge,Luge,Luge,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,1971
fuente1,Marathon Swimming (Aquatics),Aquatics,Marathon Swimming,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,178
fuente1,Military Ski Patrol (Skiing),Skiing,Military Ski Patrol,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,36
fuente1,Mixed Sports,Skiing,Cross Country Skiing,disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,14
fuente1,Mixed Sports,Skiing,Freestyle Skiing,disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,1
fuente1,Mixed Sports,Skiing,Nordic Combined,disciplina determinada por patrón inequívoco del evento y taxonomía olímpica,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,4
