olympedia_edition_id,id_edicion,anio,temporada,olympedia_athlete_id,nombre_referencia,id_atleta_candidato,nombre_local_candidato,filas_edicion_candidato,clasificacion,decision,motivo,candidatos_fuzzy_diagnostico,referencia
17,26,1968,Summer,25608,Ignacio González,25418,Ignacio González,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25609,Horacio Hasse,25419,Horacio Hasse,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25612,Llijon León,25422,Llijon León,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25614,Alberto López,25424,Alberto López,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25617,Armando Melgar Nelson,25427,Armando Melgar Nelson,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25618,Armando Melgar Retolaza,25428,Armando Melgar Retolaza,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25621,Hugo Montoya,25431,Hugo Montoya,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25626,Hugo Peña,25436,Hugo Peña,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25632,Jorge Roldán,25442,Jorge Roldán,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25636,Jeron Slusher,25446,Jeron Slusher,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25637,David Stokes,25447,David Stokes,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25638,Hugo Torres,25448,Hugo Torres,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25639,Carlos Valdez,25449,Carlos Valdez,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
17,26,1968,Summer,25640,Luis Villavicencio,25450,Luis Villavicencio,1,STRONG_NAME_EDITION_MATCH,KEEP_CANDIDATE,Coincidencia exacta normalizada de nombre dentro de la misma edición; requiere consolidación de IDs si hay duplicados históricos.,,https://www.olympedia.org/countries/GUA/editions/17
