origen,destino_canonico,accion,clasificacion,evidencia
330981,58223,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29143, edición=20, evento=493, NOC=14, medalla=."
330982,58224,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29143, edición=20, evento=494, NOC=14, medalla=."
330983,58225,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29143, edición=20, evento=495, NOC=14, medalla=."
333186,58226,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=20, evento=488, NOC=14, medalla=."
333187,58227,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=20, evento=489, NOC=14, medalla=."
333188,58228,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=20, evento=490, NOC=14, medalla=."
333189,58229,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=20, evento=491, NOC=14, medalla=."
333190,58230,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=20, evento=492, NOC=14, medalla=."
333191,58231,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=20, evento=493, NOC=14, medalla=."
333192,58232,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=20, evento=494, NOC=14, medalla=."
333193,58233,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=20, evento=495, NOC=14, medalla=."
333194,58234,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=22, evento=488, NOC=14, medalla=."
333195,58235,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=22, evento=490, NOC=14, medalla=."
333196,58236,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=22, evento=491, NOC=14, medalla=."
333197,58237,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=22, evento=492, NOC=14, medalla=."
333198,58238,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29144, edición=22, evento=493, NOC=14, medalla=."
