nombre_normalizado,ids_involucrados,identidad_canonica_propuesta,nombre_muestra,clasificacion,evidencia_a_favor,conflictos,participaciones_por_id,cantidad_ids,nota
silvio burbano,231831;231832;231833,231831,Silvio Burbano,REVIEW,nombre_auxiliar_comun,,231831:1;231832:1;231833:1,3,No se aplica merge; requiere revisión.
alberto recio,231834;231835,231834,Alberto Recio,REVIEW,nombre_auxiliar_comun,,231834:1;231835:1,2,No se aplica merge; requiere revisión.
belem mndez,231838;231839;231840;231841,231838,Belem Mndez,REVIEW,nombre_auxiliar_comun,,231838:1;231839:1;231840:1;231841:1,4,No se aplica merge; requiere revisión.
hctor delgado,231845;231846,231845,Hctor Delgado,REVIEW,nombre_auxiliar_comun,,231845:1;231846:1,2,No se aplica merge; requiere revisión.
rubn guerrero,231854;231855;231856;231857;231858,231854,Rubn Guerrero,REVIEW,nombre_auxiliar_comun,,231854:1;231855:1;231856:1;231857:1;231858:1,5,No se aplica merge; requiere revisión.
irene loog,231867;231868,231867,Irene (-loog),REVIEW,nombre_auxiliar_comun,,231867:1;231868:1,2,No se aplica merge; requiere revisión.
mansour gotti,231873;231874,231873,Mansour Gotti,REVIEW,nombre_auxiliar_comun,,231873:1;231874:1,2,No se aplica merge; requiere revisión.
ana espinoza,231875;231876;231877,231875,Ana Espinoza,REVIEW,nombre_auxiliar_comun,,231875:1;231876:1;231877:1,3,No se aplica merge; requiere revisión.
ramn guevara,231878;231879,231878,Ramn Guevara,REVIEW,nombre_auxiliar_comun,,231878:1;231879:1,2,No se aplica merge; requiere revisión.
ena weinstein,231880;231881,231880,Ena (-weinstein),REVIEW,nombre_auxiliar_comun,,231880:1;231881:1,2,No se aplica merge; requiere revisión.
manuel reidtler,231882;231883,231882,Manuel Reidtler,REVIEW,nombre_auxiliar_comun,,231882:1;231883:1,2,No se aplica merge; requiere revisión.
alioune guye,231884;231885,231884,Alioune Guye,REVIEW,nombre_auxiliar_comun,,231884:1;231885:1,2,No se aplica merge; requiere revisión.
daour guye,231887;231888,231887,Daour Guye,REVIEW,nombre_auxiliar_comun,,231887:1;231888:1,2,No se aplica merge; requiere revisión.
moustapha guye,231891;231892,231891,Moustapha Guye,REVIEW,nombre_auxiliar_comun,,231891:1;231892:1,2,No se aplica merge; requiere revisión.
henri gufflet,231893;231894;231895,231893,Henri Gufflet,REVIEW,nombre_auxiliar_comun,,231893:1;231894:1;231895:1,3,No se aplica merge; requiere revisión.
johannes gufler,231899;231900,231899,Johannes Gufler,REVIEW,nombre_auxiliar_comun,,231899:1;231900:1,2,No se aplica merge; requiere revisión.
sara salazar,231939;231940;231941,231939,Sara (-salazar),REVIEW,nombre_auxiliar_comun,,231939:1;231940:1;231941:1,3,No se aplica merge; requiere revisión.
carlette falkquay,231942;231943;231944;231945,231942,Carlette (-falkquay),REVIEW,nombre_auxiliar_comun,,231942:1;231943:1;231944:1;231945:1,4,No se aplica merge; requiere revisión.
michal guigou,231969;231970;231971;231972,231969,Michal Guigou,REVIEW,nombre_auxiliar_comun,,231969:1;231970:1;231971:1;231972:1,4,No se aplica merge; requiere revisión.
mavis fernndez,231977;231978,231977,Mavis Fernndez,REVIEW,nombre_auxiliar_comun,,231977:1;231978:1,2,No se aplica merge; requiere revisión.
edgardo alomar,231979;231980,231979,Edgardo Alomar,REVIEW,nombre_auxiliar_comun,,231979:1;231980:1,2,No se aplica merge; requiere revisión.
fernando iglesias,231987;231988,231987,Fernando Iglesias,REVIEW,nombre_auxiliar_comun,,231987:1;231988:1,2,No se aplica merge; requiere revisión.
agberto guimares,232012;232013;232014;232015;232016,232012,Agberto Guimares,REVIEW,nombre_auxiliar_comun,,232012:1;232013:1;232014:1;232015:1;232016:1,5,No se aplica merge; requiere revisión.
antnio guimares,232017;232018;232019;232020,232017,Antnio Guimares,REVIEW,nombre_auxiliar_comun,,232017:1;232018:1;232019:1;232020:1,4,No se aplica merge; requiere revisión.
durval guimares,232022;232023;232024;232025;232026;232027,232022,Durval Guimares,REVIEW,nombre_auxiliar_comun,,232022:1;232023:1;232024:1;232025:1;232026:1;232027:1,6,No se aplica merge; requiere revisión.
henrique guimares,232029;232030;232031,232029,Henrique Guimares,REVIEW,nombre_auxiliar_comun,,232029:1;232030:1;232031:1,3,No se aplica merge; requiere revisión.
eusebio guiez,232045;232046,232045,Eusebio Guiez,REVIEW,nombre_auxiliar_comun,,232045:1;232046:1,2,No se aplica merge; requiere revisión.
thomas guinn,232047;232048,232047,Thomas Guinn,REVIEW,nombre_auxiliar_comun,,232047:1;232048:1,2,No se aplica merge; requiere revisión.
heather henning,232049;232050,232049,Heather (-henning),REVIEW,nombre_auxiliar_comun,,232049:1;232050:1,2,No se aplica merge; requiere revisión.
maurice rivire,232053;232054;232055;232056;232057;232058;232059,232053,Maurice Rivire,REVIEW,nombre_auxiliar_comun,,232053:1;232054:1;232055:1;232056:1;232057:1;232058:1;232059:1,7,No se aplica merge; requiere revisión.
