nombre_normalizado,ids_involucrados,identidad_canonica_propuesta,nombre_muestra,clasificacion,evidencia_a_favor,conflictos,participaciones_por_id,cantidad_ids,nota
lars kraus jensen,45981;242780;242781;242782,45981,Lars Kraus Jensen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,45981:8;242780:1;242781:1;242782:1,4,No se aplica merge; requiere revisión.
harald klem,45982;249369;249370;249371;249372,45982,Harald Klem,CONFLICT,nombre_auxiliar_comun,sexo_distinto,45982:11;249369:1;249370:1;249371:1;249372:1,5,No se aplica merge; requiere revisión.
franz mortensen,45988;272546;272547;272548;272549;272550;272551;272552;272553;272554;272555,45988,Franz Mortensen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,45988:22;272546:1;272547:1;272548:1;272549:1;272550:1;272551:1;272552:1;272553:1;272554:1;272555:1,11,No se aplica merge; requiere revisión.
holger nielsen,45990;276276;276277;276278;276279;276280;276281,45990,Holger Nielsen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,45990:21;276276:1;276277:1;276278:1;276279:1;276280:1;276281:1,7,No se aplica merge; requiere revisión.
ejvind pedersen,45992;283083;283084;283085,45992,Ejvind Pedersen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,45992:8;283083:1;283084:1;283085:1,4,No se aplica merge; requiere revisión.
poul petersen,45994;284537;284538;284539;284540,45994,Poul Petersen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,45994:6;284537:1;284538:1;284539:1;284540:1,5,No se aplica merge; requiere revisión.
peter rohde,45995;293382;293383;293384;293385;293386,45995,Peter Rohde,CONFLICT,nombre_auxiliar_comun,sexo_distinto,45995:12;293382:1;293383:1;293384:1;293385:1;293386:1,6,No se aplica merge; requiere revisión.
hjalmar saxtorph,45996;298076;298077;298078;298079,45996,Hjalmar Saxtorph,CONFLICT,nombre_auxiliar_comun,sexo_distinto,45996:10;298076:1;298077:1;298078:1;298079:1,5,No se aplica merge; requiere revisión.
christian toft,46002;313214,46002,Christian Toft,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46002:4;313214:1,2,No se aplica merge; requiere revisión.
ximena carias,46005;203553,46005,Ximena Carias,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46005:4;203553:1,2,No se aplica merge; requiere revisión.
maribel solis,46006;304682,46006,Maribel Solís,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46006:4;304682:1,2,No se aplica merge; requiere revisión.
reynaldo castro,46007;204563,46007,Reynaldo Castro,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46007:4;204563:1,2,No se aplica merge; requiere revisión.
tamara orejuela,46012;279726,46012,Tamara Orejuela,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46012:4;279726:1,2,No se aplica merge; requiere revisión.
fernando gonzalez,46016;91558;106269;143921,46016,Fernando González,CONFLICT,nombre_auxiliar_comun,DOB_distinto,46016:7;91558:1;106269:4;143921:1,4,No se aplica merge; requiere revisión.
enrique ledesma,46017;256216,46017,Enrique Ledesma,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46017:4;256216:1,2,No se aplica merge; requiere revisión.
eduardo orejuela,46018;279725,46018,Eduardo Orejuela,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46018:6;279725:1,2,No se aplica merge; requiere revisión.
javier santos,46020;297351,46020,Javier Santos,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46020:4;297351:1,2,No se aplica merge; requiere revisión.
rania el wani,46025;219224;219225;219226;219227;219228;219229;219230;219231;219232,46025,Rania El-Wani,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46025:11;219224:1;219225:1;219226:1;219227:1;219228:1;219229:1;219230:1;219231:1;219232:1,10,No se aplica merge; requiere revisión.
nevine hafez,46026;232909,46026,Nevine Hafez,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46026:5;232909:1,2,No se aplica merge; requiere revisión.
sherwite hafez,46027;232910,46027,Sherwite Hafez,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46027:4;232910:1,2,No se aplica merge; requiere revisión.
rim hassan,46028;234809,46028,Rim Hassan,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46028:4;234809:1,2,No se aplica merge; requiere revisión.
dahlia mokbel,46030;270958,46030,Dahlia Mokbel,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46030:4;270958:1,2,No se aplica merge; requiere revisión.
moustafa amer,46039;187112;187115;187116;187117,46039,Moustafa Amer,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46039:7;187112:2;187115:2;187116:2;187117:2,5,No se aplica merge; requiere revisión.
ali bagdadi,46040;190971,46040,Ali Bagdadi,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46040:4;190971:2,2,No se aplica merge; requiere revisión.
said daw,46041;211700,46041,Said Daw,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46041:4;211700:1,2,No se aplica merge; requiere revisión.
mohamed el azoul,46043;218986;218987;218988,46043,Mohamed El-Azoul,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46043:8;218986:1;218987:1;218988:1,4,No se aplica merge; requiere revisión.
emad el shafei,46045;219209;219210,46045,Emad El-Shafei,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46045:6;219209:1;219210:1,3,No se aplica merge; requiere revisión.
jack hakim,46048;233152,46048,Jack Hakim,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46048:7;233152:1,2,No se aplica merge; requiere revisión.
ahmed kandil,46060;245419,46060,Ahmed Kandil,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46060:3;245419:1,2,No se aplica merge; requiere revisión.
khalil ibrahim,46062;55135,55135,Khalil Ibrahim,CONFLICT,nombre_auxiliar_comun,DOB_distinto,46062:1;55135:1,2,No se aplica merge; requiere revisión.
ahmed moharran,46063;270892,46063,Ahmed Moharran,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46063:4;270892:1,2,No se aplica merge; requiere revisión.
ayman nadim,46067;274265;274266,46067,Ayman Nadim,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46067:7;274265:1;274266:1,3,No se aplica merge; requiere revisión.
sharif nour,46068;277355;277356,46068,Sharif Nour,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46068:7;277355:1;277356:1,3,No se aplica merge; requiere revisión.
ismael ramzi,46069;289856,46069,Ismael Ramzi,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46069:4;289856:1,2,No se aplica merge; requiere revisión.
farid simaika,46071;302184,46071,Farid Simaika,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46071:4;302184:1,2,No se aplica merge; requiere revisión.
carmen ferracuti,46077;222298;222299;222300;222301;222302,46077,Carmen Ferracuti,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46077:13;222298:1;222299:1;222300:1;222301:1;222302:1,6,No se aplica merge; requiere revisión.
donatella ferracuti,46078;222303;222304;222305,46078,Donatella Ferracuti,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46078:10;222303:1;222304:1;222305:1,4,No se aplica merge; requiere revisión.
jose alvarado,46083;334680,46083,José Alvarado,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46083:4;334680:1,2,No se aplica merge; requiere revisión.
arturo carranza,46085;203937;203938,46085,Arturo Carranza,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46085:6;203937:1;203938:1,3,No se aplica merge; requiere revisión.
piero ferracuti,46088;222306,46088,Piero Ferracuti,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46088:5;222306:1,2,No se aplica merge; requiere revisión.
juan miranda,46092;139073;281778,46092,Juan Miranda,CONFLICT,nombre_auxiliar_comun,DOB_distinto;sexo_distinto,46092:4;139073:2;281778:1,3,No se aplica merge; requiere revisión.
salvador vilanova,46100;320120;320121;320122;320123;320124;320125;320126,46100,Salvador Vilanova,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46100:19;320120:1;320121:1;320122:1;320123:1;320124:1;320125:1;320126:1,8,No se aplica merge; requiere revisión.
silvia fontana,46122;100983,46122,Silvia Fontana,CONFLICT,nombre_auxiliar_comun,DOB_distinto,46122:4;100983:4,2,No se aplica merge; requiere revisión.
montserrat majo,46129;262973,46129,Montserrat Majo,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46129:4;262973:1,2,No se aplica merge; requiere revisión.
natalia pulido,46140;288444,46140,Natalia Pulido,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46140:4;288444:1,2,No se aplica merge; requiere revisión.
juan benavides,46157;55049,46157,Juan Benavides,CONFLICT,nombre_auxiliar_comun,DOB_distinto,46157:6;55049:2,2,No se aplica merge; requiere revisión.
julio cabrera,46160;236583;236584;236585,46160,Julio Cabrera,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46160:2;236583:1;236584:1;236585:1,4,No se aplica merge; requiere revisión.
enrique granados,46193;53388,46193,Enrique Granados,CONFLICT,nombre_auxiliar_comun,DOB_distinto,46193:7;53388:4,2,No se aplica merge; requiere revisión.
sergio lopez,46203;66737,46203,Sergio López,CONFLICT,nombre_auxiliar_comun,DOB_distinto,46203:5;66737:1,2,No se aplica merge; requiere revisión.
antonio perez,46217;51866,46217,Antonio Pérez,CONFLICT,nombre_auxiliar_comun,DOB_distinto,46217:2;51866:1,2,No se aplica merge; requiere revisión.
jose pujol,46222;53412,46222,José Pujol,CONFLICT,nombre_auxiliar_comun,DOB_distinto,46222:1;53412:1,2,No se aplica merge; requiere revisión.
miguel torres,46230;226616,46230,Miguel Torres,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46230:9;226616:1,2,No se aplica merge; requiere revisión.
ilmar ojase,46236;278563;278564,46236,Ilmar Ojase,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46236:6;278563:1;278564:1,3,No se aplica merge; requiere revisión.
marko pachel,46237;280835,46237,Marko Pachel,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46237:4;280835:1,2,No se aplica merge; requiere revisión.
indrek sei,46240;299948;299949;299950;299951;299952;299953,46240,Indrek Sei,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46240:15;299948:1;299949:1;299950:1;299951:1;299952:1;299953:1,7,No se aplica merge; requiere revisión.
angela birch,46242;196337;196338;196339;196340,46242,Angela Birch,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46242:10;196337:1;196338:1;196339:1;196340:1,5,No se aplica merge; requiere revisión.
cina munch,46243;273453;273454;273455,46243,Cina Munch,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46243:8;273453:1;273454:1;273455:1,4,No se aplica merge; requiere revisión.
jason chute,46247;206914;206915,46247,Jason Chute,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46247:6;206914:1;206915:1,3,No se aplica merge; requiere revisión.
carl probert,46248;288064;288065;288066;288067;288068;288069;288070;288071;288072;288073;288074;288075,46248,Carl Probert,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46248:27;288064:1;288065:1;288066:1;288067:1;288068:1;288069:1;288070:1;288071:1;288072:1;288073:1;288074:1;288075:1,13,No se aplica merge; requiere revisión.
warren sorby,46249;304907;304908;304909;304910;304911,46249,Warren Sorby,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46249:12;304907:1;304908:1;304909:1;304910:1;304911:1,6,No se aplica merge; requiere revisión.
samuela tupou,46250;315334;315335;315336,46250,Samuela Tupou,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46250:8;315334:1;315335:1;315336:1,4,No se aplica merge; requiere revisión.
mia hagman,46251;232999;233000,46251,Mia Hagman,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46251:6;232999:1;233000:1,3,No se aplica merge; requiere revisión.
anne lackman,46261;253951,46261,Anne Lackman,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46261:3;253951:1,2,No se aplica merge; requiere revisión.
riikka ukkola,46276;315894,46276,Riikka Ukkola,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46276:4;315894:1,2,No se aplica merge; requiere revisión.
janne blomqvist,46278;196985;196986;196987;196988,46278,Janne Blomqvist,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46278:10;196985:1;196986:1;196987:1;196988:1,5,No se aplica merge; requiere revisión.
herman cederberg,46279;204832,46279,Herman Cederberg,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46279:7;204832:1,2,No se aplica merge; requiere revisión.
stig olof grenner,46281;230891;230892,46281,Stig-Olof Grenner,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46281:6;230891:1;230892:1,3,No se aplica merge; requiere revisión.
vesa hanski,46282;234104;234105;234106;234107;234108;234109;234110,46282,Vesa Hanski,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46282:16;234104:1;234105:1;234106:1;234107:1;234108:1;234109:1;234110:1,8,No se aplica merge; requiere revisión.
john henriksson,46285;236061,46285,John Henriksson,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46285:4;236061:1,2,No se aplica merge; requiere revisión.
heikki hietanen,46286;236905,46286,Heikki Hietanen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46286:4;236905:1,2,No se aplica merge; requiere revisión.
kari haavisto,46288;232769,46288,Kari Haavisto,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46288:4;232769:1,2,No se aplica merge; requiere revisión.
pentti ikonen,46289;240276;240277,46289,Pentti Ikonen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46289:6;240276:1;240277:1,3,No se aplica merge; requiere revisión.
hugo jonsson,46292;244242,46292,Hugo Jonsson,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46292:4;244242:1,2,No se aplica merge; requiere revisión.
antti kasvio,46295;246141;246142;246143;246144;246145,46295,Antti Kasvio,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46295:13;246141:1;246142:1;246143:1;246144:1;246145:1,6,No se aplica merge; requiere revisión.
matti kasvio,46296;246146,46296,Matti Kasvio,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46296:4;246146:1,2,No se aplica merge; requiere revisión.
tuomo kerola,46297;247066,46297,Tuomo Kerola,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46297:4;247066:1,2,No se aplica merge; requiere revisión.
anu koivisto,46299;250206;250207;250208;250209,46299,Anu Koivisto,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46299:6;250206:1;250207:1;250208:1;250209:1,5,No se aplica merge; requiere revisión.
pentti koskinen,46301;251236;251237,46301,Pentti Koskinen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46301:6;251236:1;251237:1,3,No se aplica merge; requiere revisión.
pekka lairola,46306;254285,46306,Pekka Lairola,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46306:4;254285:1,2,No se aplica merge; requiere revisión.
juha ovaskainen,46316;280579,46316,Juha Ovaskainen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46316:4;280579:1,2,No se aplica merge; requiere revisión.
pentti paatsalo,46317;280775,46317,Pentti Paatsalo,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46317:4;280775:1,2,No se aplica merge; requiere revisión.
jani sievinen,46319;301874;301875;301876;301877;301878;301879;301880;301881;301882;301883;301884;301885;301886,46319,Jani Sievinen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46319:31;301874:1;301875:1;301876:1;301877:1;301878:1;301879:1;301880:1;301881:1;301882:1;301883:1;301884:1;301885:1;301886:1,14,No se aplica merge; requiere revisión.
leo suni,46320;308625,46320,Leo Suni,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46320:4;308625:1,2,No se aplica merge; requiere revisión.
petri suominen,46321;308632;308633;308634;308635,46321,Petri Suominen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46321:10;308632:1;308633:1;308634:1;308635:1,5,No se aplica merge; requiere revisión.
ilkka suvanto,46322;308826;308827;308828;308829;308830;308831;308832,46322,Ilkka Suvanto,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46322:16;308826:1;308827:1;308828:1;308829:1;308830:1;308831:1;308832:1,8,No se aplica merge; requiere revisión.
mauno valkeinen,46326;316726,46326,Mauno Valkeinen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46326:4;316726:1,2,No se aplica merge; requiere revisión.
kalle varonen,46327;318750,46327,Kalle Varonen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46327:4;318750:1,2,No se aplica merge; requiere revisión.
hannu vaahtoranta,46330;316379;316380,46330,Hannu Vaahtoranta,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46330:6;316379:1;316380:1,3,No se aplica merge; requiere revisión.
oskar wetzell,46331;323645;323646;323647;323648,46331,Oskar Wetzell,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46331:10;323645:1;323646:1;323647:1;323648:1,5,No se aplica merge; requiere revisión.
arvo aaltonen,46333;183338;183339;183340;183341,46333,Arvo Aaltonen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46333:11;183338:2;183339:2;183340:2;183341:2,5,No se aplica merge; requiere revisión.
marianne aeschbacher,46334;184552;184553,46334,Marianne Aeschbacher,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46334:7;184552:2;184553:2,3,No se aplica merge; requiere revisión.
laurence bensimon,46338;194862;194863;194864,46338,Laurence Bensimon,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46338:8;194862:1;194863:1;194864:1,4,No se aplica merge; requiere revisión.
virginie bojaryn,46346;197597,46346,Virginie Bojaryn,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46346:4;197597:1,2,No se aplica merge; requiere revisión.
anne capron,46352;203358;203359;203360,46352,Anne Capron,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46352:8;203358:1;203359:1;203360:1,4,No se aplica merge; requiere revisión.
julie danaux,46361;211019;211020,46361,Julie Danaux,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46361:6;211019:1;211020:1,3,No se aplica merge; requiere revisión.
virginie dedieu,46363;213644;213645;213646,46363,Virginie Dedieu,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46363:8;213644:1;213645:1;213646:1,4,No se aplica merge; requiere revisión.
jacqueline delord,46366;214199;214200;214201;214202;214203,46366,Jacqueline Delord,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46366:12;214199:1;214200:1;214201:1;214202:1;214203:1,6,No se aplica merge; requiere revisión.
yvonne godard,46379;228889,46379,Yvonne Godard,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46379:4;228889:1,2,No se aplica merge; requiere revisión.
catherine grosjean,46381;231387,46381,Catherine Grosjean,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46381:4;231387:1,2,No se aplica merge; requiere revisión.
laurence guillou,46383;232009,46383,Laurence Guillou,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46383:4;232009:1,2,No se aplica merge; requiere revisión.
simone hanner,46384;233895,46384,Simone Hanner,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46384:4;233895:1,2,No se aplica merge; requiere revisión.
claire horrent,46386;238425,46386,Claire Horrent,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46386:4;238425:1,2,No se aplica merge; requiere revisión.
ginette jany sendral,46388;242152;242153;242154;242155;242156;242157;242158,46388,Ginette Jany-Sendral,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46388:17;242152:1;242153:1;242154:1;242155:1;242156:1;242157:1;242158:1,8,No se aplica merge; requiere revisión.
sophie kamoun,46390;245370,46390,Sophie Kamoun,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46390:4;245370:1,2,No se aplica merge; requiere revisión.
ernestine lebrun,46394;256050;256051;256052;256053,46394,Ernestine Lebrun,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46394:10;256050:1;256051:1;256052:1;256053:1,5,No se aplica merge; requiere revisión.
casey legler,46395;256766,46395,Casey Legler,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46395:4;256766:1,2,No se aplica merge; requiere revisión.
myriam lignot,46399;258521;258522,46399,Myriam Lignot,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46399:6;258521:1;258522:1,3,No se aplica merge; requiere revisión.
christine magnier,46402;262658,46402,Christine Magnier,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46402:4;262658:1,2,No se aplica merge; requiere revisión.
claude mandonnaud,46403;263590;263591;263592;263593;263594,46403,Claude Mandonnaud,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46403:13;263590:1;263591:1;263592:1;263593:1;263594:1,6,No se aplica merge; requiere revisión.
charlotte massardier,46405;265702,46405,Charlotte Massardier,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46405:4;265702:1,2,No se aplica merge; requiere revisión.
gilberte mortier,46411;272562,46411,Gilberte Mortier,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46411:5;272562:1,2,No se aplica merge; requiere revisión.
mariette protin,46421;288193;288194,46421,Mariette Protin,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46421:6;288193:1;288194:1,3,No se aplica merge; requiere revisión.
magali rathier,46424;290181,46424,Magali Rathier,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46424:4;290181:1,2,No se aplica merge; requiere revisión.
georgina roty,46429;294426,46429,Georgina Roty,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46429:4;294426:1,2,No se aplica merge; requiere revisión.
chantal schertz,46431;298494;298495,46431,Chantal Schertz,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46431:6;298494:1;298495:1,3,No se aplica merge; requiere revisión.
karine schuler,46432;299305;299306,46432,Karine Schuler,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46432:6;299305:1;299306:1,3,No se aplica merge; requiere revisión.
alice stoffel,46433;307224;307225,46433,Alice Stoffel,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46433:6;307224:1;307225:1,3,No se aplica merge; requiere revisión.
gaby tanguy,46435;310566,46435,Gaby Tanguy,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46435:4;310566:1,2,No se aplica merge; requiere revisión.
colette thomas,46438;312033;312034;312035,46438,Colette Thomas,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46438:10;312033:1;312034:1;312035:1,4,No se aplica merge; requiere revisión.
pierre andraca,46444;187799,46444,Pierre Andraca,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46444:5;187799:2,2,No se aplica merge; requiere revisión.
pierre baehr,46449;190939,46449,Pierre Baehr,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46449:5;190939:2,2,No se aplica merge; requiere revisión.
dominique bataille,46450;192990,46450,Dominique Bataille,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46450:4;192990:1,2,No se aplica merge; requiere revisión.
jean paul berjeau,46451;195278;195279,46451,Jean-Paul Berjeau,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46451:6;195278:1;195279:1,3,No se aplica merge; requiere revisión.
armand billard,46455;196140,46455,Armand Billard,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46455:4;196140:1,2,No se aplica merge; requiere revisión.
jean boiteux,46456;197583;197584;197585;197586;197587;197588,46456,Jean Boiteux,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46456:14;197583:1;197584:1;197585:1;197586:1;197587:1;197588:1,7,No se aplica merge; requiere revisión.
christophe bordeau,46457;198181;198182;198183;198184;198185;198186,46457,Christophe Bordeau,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46457:14;198181:1;198182:1;198183:1;198184:1;198185:1;198186:1,7,No se aplica merge; requiere revisión.
olivier borios,46458;198303,46458,Olivier Borios,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46458:4;198303:1,2,No se aplica merge; requiere revisión.
roland boullanger,46460;198904,46460,Roland Boullanger,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46460:4;198904:1,2,No se aplica merge; requiere revisión.
christophe bourdon,46461;198971,46461,Christophe Bourdon,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46461:4;198971:1,2,No se aplica merge; requiere revisión.
gilbert bozon,46463;199327,46463,Gilbert Bozon,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46463:4;199327:1,2,No se aplica merge; requiere revisión.
pierre caland,46467;202517,46467,Pierre Caland,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46467:4;202517:1,2,No se aplica merge; requiere revisión.
robert christophe,46473;206770;206771;206772;206773,46473,Robert Christophe,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46473:10;206770:1;206771:1;206772:1;206773:1,5,No se aplica merge; requiere revisión.
jacques collignon,46476;207944;207945,46476,Jacques Collignon,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46476:6;207944:1;207945:1,3,No se aplica merge; requiere revisión.
jean pascal curtillet,46480;210221;210222;210223;210224,46480,Jean-Pascal Curtillet,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46480:10;210221:1;210222:1;210223:1;210224:1,5,No se aplica merge; requiere revisión.
de romand,46483;213108;213109,46483,de Romand,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46483:7;213108:1;213109:1,3,No se aplica merge; requiere revisión.
aldo eminente,46493;219561;219562;219563,46493,Aldo Eminente,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46493:8;219561:1;219562:1;219563:1,4,No se aplica merge; requiere revisión.
franck esposito,46494;220385;220386;220387;220388;220389;220390;220391;220392;220393;220394;220395,46494,Franck Esposito,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46494:24;220385:1;220386:1;220387:1;220388:1;220389:1;220390:1;220391:1;220392:1;220393:1;220394:1;220395:1,12,No se aplica merge; requiere revisión.
alain goosen,46499;229905,46499,Alain Goosen,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46499:4;229905:1,2,No se aplica merge; requiere revisión.
nicolas gruson,46505;231586;231587,46505,Nicolas Gruson,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46505:6;231586:1;231587:1,3,No se aplica merge; requiere revisión.
bruno gutzeit,46506;232505;232506;232507;232508,46506,Bruno Gutzeit,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46506:10;232505:1;232506:1;232507:1;232508:1,5,No se aplica merge; requiere revisión.
alain hermitte,46508;236346,46508,Alain Hermitte,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46508:4;236346:1,2,No se aplica merge; requiere revisión.
guy hernandez,46509;236404,46509,Guy Hernandez,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46509:4;236404:1,2,No se aplica merge; requiere revisión.
victor hochepied,46510;237440;237441,46510,Victor Hochepied,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46510:6;237440:1;237441:1,3,No se aplica merge; requiere revisión.
david holderbach,46511;237775;237776,46511,David Holderbach,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46511:6;237775:1;237776:1,3,No se aplica merge; requiere revisión.
franck iacono,46513;239929;239930;239931;239932,46513,Franck Iacono,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46513:10;239929:1;239930:1;239931:1;239932:1,5,No se aplica merge; requiere revisión.
christophe kalfayan,46519;245153;245154;245155;245156;245157;245158;245159,46519,Christophe Kalfayan,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46519:16;245153:1;245154:1;245155:1;245156:1;245157:1;245158:1;245159:1,8,No se aplica merge; requiere revisión.
gustave klein,46521;249288;249289,46521,Gustave Klein,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46521:6;249288:1;249289:1,3,No se aplica merge; requiere revisión.
vladimir latocha,46524;255322,46524,Vladimir Latocha,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46524:4;255322:1,2,No se aplica merge; requiere revisión.
marc lazzaro,46526;255765,46526,Marc Lazzaro,CONFLICT,nombre_auxiliar_comun,sexo_distinto,46526:5;255765:1,2,No se aplica merge; requiere revisión.
