olympedia_edition_id,anio,temporada,id_edicion_local,olympedia_athlete_id,nombre_referencia,nombre_normalizado,estados_observados,referencia,contado_en_referencia_263,motivo_referencia
20,1980,Summer,32,62869,Juan Maegli,juanmaegli,,https://www.olympedia.org/countries/GUA/editions/20,YES,Participante de referencia.
20,1980,Summer,32,2305534,Álvaro Tejada,alvarotejada,DNS,https://www.olympedia.org/countries/GUA/editions/20,NO,No starter en la tabla de resultados (DNS/DNF-only); excluido del conteo Olympedia 263.
21,1984,Summer,34,3741,Carlos Motta,carlosmotta,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,12412,Oswaldo Méndez,oswaldomendez,DNS;DNF,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,15291,Max Leiva,maxleiva,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,38092,Édgar Nanne,edgarnanne,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,42699,Arturo Iglesias,arturoiglesias,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,42703,Francisco Romero Arribas,franciscoromeroarribas,DNS,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,42710,Carlos Silva,carlossilva,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,42713,Mario-Óscar Zachrisson,mariooscarzachrisson,DNS,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,48006,Blanca Morales,blancamorales,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,48007,Karin Slowing,karinslowing,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,48013,Ernesto José Degenhart,ernestojosedegenhart,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,48014,Roberto Granados,robertogranados,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,48015,Rodrigo Leal,rodrigoleal,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,48016,Fernando Marroquín,fernandomarroquin,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,55913,Antulio Delgado,antuliodelgado,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,55916,Nery Minchez,neryminchez,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,62869,Juan Maegli,juanmaegli,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,70899,Patricia Meigham,patriciameigham,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,70901,Christa Schumann-Lottmann,christaschumannlottmann,DNS,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,70902,José Víctor Alonzo,josevictoralonzo,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,70905,Ángel Díaz,angeldiaz,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,70909,Hugo Allan García,hugoallangarcia,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,70911,Alberto López,albertolopez,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
21,1984,Summer,34,70919,Emilio Samayoa,emiliosamayoa,,https://www.olympedia.org/countries/GUA/editions/21,YES,Participante de referencia.
22,1988,Summer,36,3742,Giovanni Pérez,giovanniperez,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,13421,Óscar Aquino,oscaraquino,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,14842,Julio Illescas,julioillescas,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
22,1988,Summer,36,15273,Víctor Lechuga,victorlechuga,,https://www.olympedia.org/countries/GUA/editions/22,YES,Participante de referencia.
