caso,fase,posicion,atleta,id_atleta,medallas,estado,detalle
ranking_Athletics_TOTAL,preview,1,Paavo Nurmi,67218,24,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,preview,2,Ray Ewry,77795,20,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,preview,3,Merlene Ottey-Page,71688,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,preview,4,Carl Lewis,78102,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,preview,5,Martin Sheridan,78441,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,preview,6,Veronica Campbell-Brown,86428,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,preview,7,Shirley Strickland de la Hunty,64099,14,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,preview,8,Shelly-Ann Fraser-Pryce,113450,14,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,preview,9,Eric Lemming,75674,13,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Athletics_TOTAL,preview,10,Usain Bolt,104492,13,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,actual,1,Sawao Kato,30361,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,actual,2,Nikolay Andrianov,31000,14,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,actual,3,Akinori Nakayama,30376,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,actual,4,Yukio Endo,30345,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,actual,5,Mitsuo Tsukahara,30388,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,actual,6,Anton Heida,31102,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,actual,7,Zou Kai,110697,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,actual,8,Larisa Latynina,28985,9,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,actual,9,Larysa Semenivna Latynina (Diriy-),164169,9,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,actual,10,Ecaterina Szabo,28826,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,preview,1,Larisa Latynina,28985,9,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,preview,2,Larysa Semenivna Latynina (Diriy-),164169,9,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,preview,3,Ecaterina Szabo,28826,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,preview,4,Olga Korbut,28980,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,preview,5,Lyudmila Turishcheva,29003,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,preview,6,Sawao Kato,30361,8,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,preview,7,Věra Čáslavská,28902,7,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,preview,8,Nikolay Andrianov,31000,7,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_Gymnastics_Gold,preview,9,Boris Shakhlin,31032,7,PASS,Ranking calculado directamente desde PARTICIPACION.
