tipo_registro,id_edicion,anio,temporada,id_sede,sede,cantidad_participaciones,cantidad_ediciones,anios,sedes,observacion
EDITION,41,1996,Summer,34,Atlanta,41440,1,1996,Atlanta,Edición ordinaria de verano o invierno.
EDITION,42,1998,Winter,35,Nagano,7287,1,1998,Nagano,Edición ordinaria de verano o invierno.
EDITION,43,2000,Summer,36,Sydney,41549,1,2000,Sydney,Edición ordinaria de verano o invierno.
EDITION,44,2002,Winter,37,Salt Lake City,8267,1,2002,Salt Lake City,Edición ordinaria de verano o invierno.
EDITION,45,2004,Summer,1,Athina,40445,1,2004,Athina,Edición ordinaria de verano o invierno.
EDITION,46,2006,Winter,38,Torino,8820,1,2006,Torino,Edición ordinaria de verano o invierno.
EDITION,47,2008,Summer,39,Beijing,40911,1,2008,Beijing,Edición ordinaria de verano o invierno.
EDITION,48,2010,Summer Youth,,,752,1,2010,,"2010, 2014 y 2018; Juegos Olímpicos de la Juventud de verano, sin sede conservada en el CSV final."
EDITION,49,2010,Winter,40,Vancouver,8819,1,2010,Vancouver,Edición ordinaria de verano o invierno.
EDITION,50,2012,Summer,4,London,38815,1,2012,London,Edición ordinaria de verano o invierno.
EDITION,51,2012,Winter Youth,,,412,1,2012,,"2012, 2016 y 2020; Juegos Olímpicos de la Juventud de invierno, sin sede conservada en el CSV final."
EDITION,52,2014,Summer Youth,,,592,1,2014,,"2010, 2014 y 2018; Juegos Olímpicos de la Juventud de verano, sin sede conservada en el CSV final."
EDITION,53,2014,Winter,41,Sochi,9831,1,2014,Sochi,Edición ordinaria de verano o invierno.
EDITION,54,2016,Summer,42,Rio de Janeiro,41118,1,2016,Rio de Janeiro,Edición ordinaria de verano o invierno.
EDITION,55,2016,Winter Youth,,,284,1,2016,,"2012, 2016 y 2020; Juegos Olímpicos de la Juventud de invierno, sin sede conservada en el CSV final."
EDITION,56,2018,Summer Youth,,,47,1,2018,,"2010, 2014 y 2018; Juegos Olímpicos de la Juventud de verano, sin sede conservada en el CSV final."
EDITION,57,2018,Winter,,,5140,1,2018,,Edición ordinaria de verano o invierno.
EDITION,58,2020,Summer,20,Tokyo,29071,1,2020,Tokyo,Edición ordinaria de verano o invierno.
EDITION,59,2020,Winter Youth,,,3988,1,2020,,"2012, 2016 y 2020; Juegos Olímpicos de la Juventud de invierno, sin sede conservada en el CSV final."
EDITION,60,2022,Winter,,,4744,1,2022,,Edición ordinaria de verano o invierno.
EDITION,61,2024,Summer,2,Paris,14892,1,2024,Paris,Edición ordinaria de verano o invierno.
SEASON_SUMMARY,,,Intercalated Games,,,5359,1,1906,Athina,"1906; edición histórica intercalada de Atenas, no equivalente a una edición ordinaria de la Olympiad."
SEASON_SUMMARY,,,Summer,,,706784,30,1896|1900|1904|1908|1912|1920|1924|1928|1932|1936|1948|1952|1956|1960|1964|1968|1972|1976|1980|1984|1988|1992|1996|2000|2004|2008|2012|2016|2020|2024,Amsterdam|Antwerpen|Athina|Atlanta|Barcelona|Beijing|Berlin|Helsinki|London|Los Angeles|Melbourne|Mexico City|Montreal|Moskva|Munich|Paris|Rio de Janeiro|Roma|Seoul|St. Louis|Stockholm|Sydney|Tokyo,Resumen de ediciones observadas.
SEASON_SUMMARY,,,Summer Youth,,,1391,3,2010|2014|2018,,"2010, 2014 y 2018; Juegos Olímpicos de la Juventud de verano, sin sede conservada en el CSV final."
SEASON_SUMMARY,,,Winter,,,108387,24,1924|1928|1932|1936|1948|1952|1956|1960|1964|1968|1972|1976|1980|1984|1988|1992|1994|1998|2002|2006|2010|2014|2018|2022,Albertville|Calgary|Chamonix|Cortina d'Ampezzo|Garmisch-Partenkirchen|Grenoble|Innsbruck|Lake Placid|Lillehammer|Nagano|Oslo|Salt Lake City|Sankt Moritz|Sapporo|Sarajevo|Sochi|Squaw Valley|Torino|Vancouver,Resumen de ediciones observadas.
SEASON_SUMMARY,,,Winter Youth,,,4684,3,2012|2016|2020,,"2012, 2016 y 2020; Juegos Olímpicos de la Juventud de invierno, sin sede conservada en el CSV final."
