fuente,archivo,columna,valor_original,frecuencia,motivo
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1917,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1921,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1931,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1936,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1940,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1941,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1942,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1943,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1944,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1945,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1946,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1948,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1949,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1952,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1953,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1954,5,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1957,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1958,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1959,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1960,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1963,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1964,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1965,5,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1966,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1968,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1969,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1970,5,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1971,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1972,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1973,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1975,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 February 1976,1,Fecha extraída sin ciudad/región explícita.
