clave_logica_final,clasificacion,causa_primaria,filas_entrada,filas_eliminadas,id_participacion_superviviente,ids_participacion_entrada,id_atletas_originales,id_eventos_originales,campos_enriquecidos,campos_conflictivos,fuentes
1375|41|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3057,3057;398502;651996,1375,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1375|43|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3058,3058;398503,1375,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1375|45|113|14|Australia|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3059,3059;398504,1375,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1375|47|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3060,3060;398505,1375,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1376|41|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3061,3061;398786,1376,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1376|43|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3062,3062;398787,1376,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1376|45|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3063,3063;398788,1376,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1377|41|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3064,3064;398820;652269,1377,113;2033,edad;altura_cm_registrada,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1379|41|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3066,3066;405291,1379,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1380|41|113|108|Japan|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3067,3067;410859;661781,1380,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1381|41|113|38|Canada|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3068,3068;423082;671507,1381,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1382|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3069,3069;429316;676456,1382,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1383|41|113|108|Japan|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3070,3070;429558;676676,1383,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1384|41|113|108|Japan|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3071,3071;429966;676942,1384,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1385|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3072,3072;432517;678884,1385,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1386|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3073,3073;441657,1386,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1388|41|113|211|Chinese Taipei|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3075,3075;442797;686938,1388,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1390|41|113|14|Australia|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3077,3077;444802,1390,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1393|41|113|211|Chinese Taipei|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3080,3080;448033;691246,1393,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1394|41|113|211|Chinese Taipei|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3081,3081;448206;691381,1394,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
