componente_evento,miembros,nombres,tamano,deportes,disciplinas,generos,pares_evaluados,pares_safe,pares_conflict_review,pares_faltantes,coexistencia,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV00053,198;2021;2739,"Rowing Women's Single Sculls | Single Sculls, Women (Olympic) | Women's Single Sculls",3,rowing,rowing,women,3,2,0,0,,SAFE_EVENT_COMPONENT,198,"Single Sculls, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00054,201;287,"100 kilometres Team Time Trial, Men (Olympic) | 100 kilometres, Men (Olympic)",2,cycling,cycling road,men,1,1,0,0,,SAFE_EVENT_COMPONENT,201,"100 kilometres Team Time Trial, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00055,202;2396,"Polo Men's Polo | Polo, Men (Olympic)",2,polo,polo,men,1,1,0,0,,SAFE_EVENT_COMPONENT,202,"Polo, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00056,203;2332,"Rugby Men's Rugby | Rugby, Men (Olympic)",2,rugby,rugby,men,1,1,0,0,,SAFE_EVENT_COMPONENT,203,"Rugby, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00057,212;405;2379,"Lacrosse Men's Lacrosse | Lacrosse, Men (Olympic (non-medal)) | Lacrosse, Men (Olympic)",3,lacrosse,lacrosse,men,3,2,0,0,,SAFE_EVENT_COMPONENT,405,"Lacrosse, Men (Olympic (non-medal))","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00058,228;2005;2722,"Fencing Men's Sabre, Team | Men's Sabre Team | Sabre, Team, Men (Olympic)",3,fencing,fencing,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2005,"Fencing Men's Sabre, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00059,230;414,"Individual, Men (Olympic) | Sabre, Individual, Three Hits, Men (Olympic)",2,fencing,fencing,men,1,1,0,0,,SAFE_EVENT_COMPONENT,414,"Sabre, Individual, Three Hits, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00060,241;2052;2378;2721,"Fencing Men's Sabre, Individual | Fencing Men's Sabre, Masters, Individual | Men's Sabre Individual | Sabre, Individual, Men (Olympic)",4,fencing,fencing,men,6,3,1,0,"fuente2:[('1900', 'Summer'), ('1906', 'Summer')] | fuente3:[('1900', 'Summer'), ('1906', 'Summer')]",REVIEW_EVENT_COMPONENT,2378,"Fencing Men's Sabre, Masters, Individual",contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00061,244;2101;2940,"Cycling Men's Sprint | Men's Sprint | Sprint, Men (Olympic)",3,cycling,cycling track,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2101,Cycling Men's Sprint,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00062,252;2961,"Cross-Country, Women (Olympic) | Women's Cross-country",2,cycling,mountain bike,women,1,1,0,0,,SAFE_EVENT_COMPONENT,252,"Cross-Country, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
