clave_logica_original,id_atleta,id_edicion,id_evento,id_noc,equipo,medalla,cantidad_filas,duplicados_excedentes,clasificacion,campos_conflictivos,campos_complementarios,ids_participacion,procedencia
18040|3|132|223||,18040,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,32823;32824,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18041|3|132|223||,18041,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32828;32829,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18043|3|132|223||,18043,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,32833;32834,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18045|3|132|223||,18045,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32838;32839,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18046|3|132|223||,18046,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32841;32842,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18048|3|132|223||,18048,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32846;32847,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18049|3|132|223||,18049,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32849;32850,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18050|3|132|223||,18050,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32852;32853,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18051|3|132|223||,18051,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32855;32856,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18054|3|132|223||,18054,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion,,32862;32863,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
18056|3|132|223||,18056,3,132,223,,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,32867;32868,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
