id_atleta_origen_a,nombre_a,id_atleta_origen_b,nombre_b,fuentes_atleta_a,fuentes_atleta_b,ids_originales_a,ids_originales_b,contextos_compartidos,biografia_estado,senales_altura_peso,same_source,clasificacion,razon,event_aliases_used,id_atleta_canonico_propuesto
328,Francis Notenboom,277323,Francis Notenboom,fuente1 | fuente2 | fuente3,fuente3,fuente1:328 | fuente2:87062 | fuente3:173204,fuente3:173205,"[""1988 Summer | BEL | Belgium | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
341,Namgyal Lhamu,257970,Namgyal Lhamu,fuente1 | fuente2 | fuente3,fuente3,fuente1:341 | fuente2:69298 | fuente3:137879,fuente3:137880,"[""1992 Summer | BHU | Bhutan | 2656 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
342,Pem Tshering,314939,Pem Tshering,fuente1 | fuente2 | fuente3,fuente3,fuente1:342 | fuente2:122291 | fuente3:244200,fuente3:244201,"[""1992 Summer | BHU | Bhutan | 2656 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
343,Karma Tshomo,314944,Karma Tshomo,fuente1 | fuente2 | fuente3,fuente3,fuente1:343 | fuente2:122294 | fuente3:244207,fuente3:244208,"[""1992 Summer | BHU | Bhutan | 2656 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
348,Karma Tenzin,311327,Karma Tenzin,fuente1 | fuente2 | fuente3,fuente3,fuente1:348 | fuente2:119188 | fuente3:237626,fuente3:237627,"[""1992 Summer | BHU | Bhutan | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
349,Jigme Tshering,314938,Jigme Tshering,fuente1 | fuente2 | fuente3,fuente3,fuente1:349 | fuente2:122289 | fuente3:244197,fuente3:244198,"[""1988 Summer | BHU | Bhutan | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
362,Wanda Allan-Sadegur,186346,Wanda Allan-sadegur,fuente1 | fuente2 | fuente3,fuente3,fuente1:362 | fuente2:2807 | fuente3:4929,fuente3:4930,"[""1984 Summer | CAN | Canada | 2034 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
366,Lucille Lemay,257107,Lucille Lemay,fuente1 | fuente2 | fuente3,fuente3,fuente1:366 | fuente2:68618 | fuente3:136441,fuente3:136442,"[""1984 Summer | CAN | Canada | 2034 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
369,Sylvain Cadieux,202346,Sylvain Cadieux,fuente1 | fuente2 | fuente3,fuente3,fuente1:369 | fuente2:17232 | fuente3:33415,fuente3:33416,"[""1992 Summer | CAN | Canada | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
370,Denis Canuel,203256,Denis Canuel,fuente1 | fuente2 | fuente3,fuente3,fuente1:370 | fuente2:17989 | fuente3:34901,fuente3:34902,"[""1988 Summer | CAN | Canada | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
371,Daniel Desnoyers,214602,Daniel Desnoyers,fuente1 | fuente2 | fuente3,fuente3,fuente1:371 | fuente2:27825 | fuente3:54236,fuente3:54237,"[""1988 Summer | CAN | Canada | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
376,John McDonald,266989,John Mcdonald,fuente1 | fuente2 | fuente3,fuente3,fuente1:376 | fuente2:77465 | fuente3:154291,fuente3:154292,"[""1988 Summer | CAN | Canada | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
379,Claude Rousseau,294478,Claude Rousseau,fuente1 | fuente2 | fuente3,fuente3,fuente1:379 | fuente2:102970 | fuente3:205064,fuente3:205065,"[""1992 Summer | CAN | Canada | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
381,Kevin Sally,296394,Kevin Sally,fuente1 | fuente2 | fuente3,fuente3,fuente1:381 | fuente2:104784 | fuente3:208687,fuente3:208688,"[""1996 Summer | CAN | Canada | 2594 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
385,Ma Shaorong,261899,Ma Shaorong,fuente1 | fuente2 | fuente3,fuente3,fuente1:385 | fuente2:72742 | fuente3:144940,fuente3:144941,"[""1988 Summer | CHN | China | 2656 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
386,Wang Hong,322108,Wang Hong,fuente1 | fuente2 | fuente3,fuente3,fuente1:386 | fuente2:128462 | fuente3:256560,fuente3:256561,"[""1992 Summer | CHN | China | 2656 | Silver""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
