id_evento,nombre,deporte,disciplina,genero,categoria_edad,condicion_medalla,modalidad,team_individual,distancia_normalizada,distancia_compuesta,categoria_peso,aparato,numero_participantes,youth,non_medal,modificadores_restantes,redundancia_padre,semantic_key,fuentes
2291,Triathlon Men's Olympic Distance,,,,adult,medal,,,,,,,,NO,NO,distance | triathlon,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""distance"", ""triathlon""]]",
2292,Sailing Women's One Person Dinghy,,,,adult,medal,,,,,,,,NO,NO,dinghy | one | person | sailing,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""dinghy"", ""one"", ""person"", ""sailing""]]",
2293,Cross Country Skiing Women's 30 kilometres,,,,adult,medal,,,30:km,,,,,NO,NO,country | cross | skiing,0,"["""", """", """", ""adult"", ""medal"", [], [""30:km""], [], [], [""country"", ""cross"", ""skiing""]]",
2294,Cross Country Skiing Women's 15 km Skiathlon,,,,adult,medal,,,15:km,,,,,NO,NO,country | cross | skiathlon | skiing,0,"["""", """", """", ""adult"", ""medal"", [], [""15:km""], [], [], [""country"", ""cross"", ""skiathlon"", ""skiing""]]",
2295,Rowing Men's 17-Man Naval Rowing Boats,,,,adult,medal,,,,,,,,NO,NO,17 | boats | man | naval | rowing | rowing,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""17"", ""boats"", ""man"", ""naval"", ""rowing"", ""rowing""]]",
2296,Beach Volleyball Women's Beach Volleyball,volleyball,beach volleyball,women,adult,medal,,,,,,,,NO,NO,beach,2,"[""volleyball"", ""beach volleyball"", ""women"", ""adult"", ""medal"", [], [], [], [], [""beach""]]",fuente2 | fuente3
2297,Weightlifting Men's Super-Heavyweight,weightlifting,weightlifting,men,adult,medal,heavyweight,,,,,,,NO,NO,super,0,"[""weightlifting"", ""weightlifting"", ""men"", ""adult"", ""medal"", [""heavyweight""], [], [], [], [""super""]]",fuente2 | fuente3
2298,Rowing Men's Lightweight Coxless Fours,rowing,rowing,men,adult,medal,coxless | lightweight,,,,,coxless,,NO,NO,fours,0,"[""rowing"", ""rowing"", ""men"", ""adult"", ""medal"", [""coxless"", ""lightweight""], [], [], [""coxless""], [""fours""]]",fuente2 | fuente3
2299,"Wrestling Men's Light-Flyweight, Greco-Roman",wrestling,wrestling greco roman,men,adult,medal,,,,,,,,NO,NO,flyweight | light,0,"[""wrestling"", ""wrestling greco roman"", ""men"", ""adult"", ""medal"", [], [], [], [], [""flyweight"", ""light""]]",fuente2 | fuente3
2300,"Canoeing Men's Canadian Singles, 1,000 metres",,,,adult,medal,singles,,1000:m,,,,,NO,NO,canadian | canoeing,0,"["""", """", """", ""adult"", ""medal"", [""singles""], [""1000:m""], [], [], [""canadian"", ""canoeing""]]",
2301,Sailing Mixed 5.5 metres,sailing,sailing,mixed,adult,medal,mixed,,5.5:m,,,,,NO,NO,,0,"[""sailing"", ""sailing"", ""mixed"", ""adult"", ""medal"", [""mixed""], [""5.5:m""], [], [], []]",fuente2 | fuente3
2302,"Equestrianism Mixed Jumping, Team",,,,adult,medal,mixed | team,team,,,,,team,NO,NO,equestrianism | jumping,0,"["""", """", """", ""adult"", ""medal"", [""mixed"", ""team""], [], [], [], [""equestrianism"", ""jumping""]]",
2303,Diving Men's Synchronized Platform,aquatics,diving,men,adult,medal,,,,,,,,NO,NO,platform | synchronized,0,"[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [], [], [], [""platform"", ""synchronized""]]",fuente2 | fuente3
2304,Snowboarding Men's Halfpipe,,,,adult,medal,,,,,,,,NO,NO,halfpipe | snowboarding,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""halfpipe"", ""snowboarding""]]",
2305,"Canoeing Women's Kayak Singles, Slalom",,,,adult,medal,singles,,,,,,,NO,NO,canoeing | kayak | slalom,0,"["""", """", """", ""adult"", ""medal"", [""singles""], [], [], [], [""canoeing"", ""kayak"", ""slalom""]]",
