clasificacion,componente_evento,clave_logica_post,filas,eventos_originales,evento_canonico,cantidad_eventos_originales,extras_inducidos_por_alias,campos_conflictivos,ids_participacion,id_atleta,id_edicion,id_noc,equipo,medalla
ALIAS_INDUCED_MERGEABLE,EV500037,1402|41|113|14|Australia|Bronze,3,113;2033,113,2,1,,3091;462640;703359,1402,41,14,Australia,Bronze
ALIAS_INDUCED_MERGEABLE,EV500037,1403|41|113|150|Netherlands|,3,113;2033,113,2,1,,3092;463720;704257,1403,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1404|41|113|170|Puerto Rico|,3,113;2033,113,2,1,,3093;467239;707190,1404,41,170,Puerto Rico,
ALIAS_INDUCED_MERGEABLE,EV500037,1406|41|113|108|Japan|,3,113;2033,113,2,1,,3095;468288;708036,1406,41,108,Japan,
ALIAS_INDUCED_MERGEABLE,EV500037,1407|41|113|38|Canada|,3,113;2033,113,2,1,,3096;473684;712637,1407,41,38,Canada,
ALIAS_INDUCED_MERGEABLE,EV500037,1408|41|113|150|Netherlands|,3,113;2033,113,2,1,,3097;478676;716744,1408,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1409|41|113|223|United States|Gold,3,113;2033,113,2,1,,3098;481835;719202,1409,41,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1409|43|113|223|United States|Gold,2,113;2033,113,2,1,,3099;481836,1409,43,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1409|45|113|223|United States|Gold,2,113;2033,113,2,1,,3100;481837,1409,45,223,United States,Gold
ALIAS_INDUCED_MERGEABLE,EV500037,1410|41|113|150|Netherlands|,2,113;2033,113,2,1,,3101;482303,1410,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1413|41|113|211|Chinese Taipei|,3,113;2033,113,2,1,,3104;486477;722927,1413,41,211,Chinese Taipei,
ALIAS_INDUCED_MERGEABLE,EV500037,1414|41|113|150|Netherlands|,3,113;2033,113,2,1,,3105;488505;724559,1414,41,150,Netherlands,
ALIAS_INDUCED_MERGEABLE,EV500037,1415|41|113|170|Puerto Rico|,3,113;2033,113,2,1,,3106;489693;725518,1415,41,170,Puerto Rico,
