clave_logica_pre,filas,extras_duplicados_preexistentes,id_atleta,id_edicion,id_evento_original,id_noc,equipo,medalla,ids_participacion,componentes_safe_relacionados
24427|7|1902|58|Denmark|,2,1,24427,7,1902,58,Denmark,,308268;577999,EV500064
17686|2|1903|58|Denmark/Sweden|Gold,2,1,17686,2,1903,58,Denmark/Sweden,Gold,308269;578000,EV500048
82060|43|1915|72|Finland|,2,1,82060,43,1915,72,Finland,,308297;578004,
60653|41|1916|72|Finland|,2,1,60653,41,1916,72,Finland,,308298;578005,
46333|6|1918|72|Finland|,2,1,46333,6,1918,72,Finland,,308301;578007,
29639|16|1920|72|Finland|Bronze,2,1,29639,16,1920,72,Finland,Bronze,308307;578012,
86163|43|1928|72|Finland|,2,1,86163,43,1928,72,Finland,,308323;578028,
110787|47|1935|155|Norway|Gold,2,1,110787,47,1935,155,Norway,Gold,308345;578030,EV500043
128937|54|1936|175|Romania|,2,1,128937,54,1936,175,Romania,,308346;578031,
94398|43|1937|155|Norway|,2,1,94398,43,1937,155,Norway,,308347;578032,
30626|7|1940|155|Norway|Silver,2,1,30626,7,1940,155,Norway,Silver,308352;578034,
54094|34|1942|150|Netherlands|,2,1,54094,34,1942,150,Netherlands,,308354;578035,
63775|26|1943|155|Norway|,2,1,63775,26,1943,155,Norway,,308355;578036,
19572|36|1944|150|Netherlands|Bronze,2,1,19572,36,1944,150,Netherlands,Bronze,308357;578038,EV500065
38739|41|1945|150|Netherlands|Silver,2,1,38739,41,1945,150,Netherlands,Silver,308358;578039,
73684|6|1947|155|Norway|,2,1,73684,6,1947,155,Norway,,308361;578042,
63776|38|1948|72|Finland|,2,1,63776,38,1948,72,Finland,,308362;578043,
49165|41|1951|150|Netherlands|,2,1,49165,41,1951,150,Netherlands,,308366;578046,
30627|7|1940|155|Norway|Silver,2,1,30627,7,1940,155,Norway,Silver,308372;578052,
26601|7|1902|155|Norway|,2,1,26601,7,1902,155,Norway,,308382;578056,EV500064
12967|38|1961|155|Norway|,2,1,12967,38,1961,155,Norway,,308384;578058,
145509|14|1963|155|Norway|,2,1,145509,14,1963,155,Norway,,308390;578059,
145510|14|1964|155|Norway|,2,1,145510,14,1964,155,Norway,,308391;578060,
73685|7|1966|155|Norway|,2,1,73685,7,1966,155,Norway,,308396;578065,
121142|50|1968|130|Morocco|,2,1,121142,50,1968,130,Morocco,,308400;578069,
105449|45|1969|68|Estonia|,2,1,105449,45,1969,68,Estonia,,308401;578070,
57405|38|1970|68|Estonia|,2,1,57405,38,1970,68,Estonia,,308403;578072,
67507|30|1946|73|France|,2,1,67507,30,1946,73,France,,308411;578080,
93345|43|1971|63|Egypt|,2,1,93345,43,1971,63,Egypt,,308412;578081,
145512|20|1974|73|France|,2,1,145512,20,1974,73,France,,308415;578084,
7584|36|1968|34|Bulgaria|,2,1,7584,36,1968,34,Bulgaria,,308417;578086,
54885|20|1976|34|Bulgaria|,2,1,54885,20,1976,34,Bulgaria,,308420;578088,
145513|22|1977|34|Bulgaria|,2,1,145513,22,1977,34,Bulgaria,,308422;578090,
24090|22|1902|34|Bulgaria|,2,1,24090,22,1902,34,Bulgaria,,308423;578091,EV500064
33119|38|1979|41|Chad|,2,1,33119,38,1979,41,Chad,,308426;578094,
126736|54|1980|16|Azerbaijan|Bronze,2,1,126736,54,1980,16,Azerbaijan,Bronze,308427;578095,
8036|28|1981|196|Sudan|,2,1,8036,28,1981,196,Sudan,,308428;578096,
145521|45|1956|85|Greece|,2,1,145521,45,1956,85,Greece,,308443;578111,
1299|26|1989|45|Cameroon|,2,1,1299,26,1989,45,Cameroon,,308445;578113,
33120|41|1990|214|Turkey|,2,1,33120,41,1990,214,Turkey,,308446;578114,
145524|45|1902|85|Greece|,2,1,145524,45,1902,85,Greece,,308449;578117,EV500064
106988|45|1994|223|United States|Silver,2,1,106988,45,1994,223,United States,Silver,308452;578120,
60003|24|1937|221|Soviet Union|,2,1,60003,24,1937,221,Soviet Union,,308458;578126,
36028|34|1997|42|Chile|,2,1,36028,34,1997,42,Chile,,308460;578128,
105785|45|1998|177|Russia|Silver,2,1,105785,45,1998,177,Russia,Silver,308461;578129,
122246|50|2000|104|Italy|,2,1,122246,50,2000,104,Italy,,308463;578131,
110156|47|1902|104|Italy|,2,1,110156,47,1902,104,Italy,,308464;578132,EV500064
145530|34|2001|42|Chile|,2,1,145530,34,2001,42,Chile,,308467;578135,
145531|45|2002|85|Greece|,2,1,145531,45,2002,85,Greece,,308468;578136,
73130|30|1947|149|Nicaragua|,2,1,73130,30,1947,149,Nicaragua,,308470;578138,
145532|26|1955|135|Mexico|,2,1,145532,26,1955,135,Mexico,,308471;578139,
145533|38|2005|94|Hungary|Silver,2,1,145533,38,2005,94,Hungary,Silver,308474;578142,
145534|14|2006|94|Hungary|,2,1,145534,14,2006,94,Hungary,,308475;578143,
4742|28|2008|153|Nigeria|,2,1,4742,28,2008,153,Nigeria,,308477;578145,
34607|14|2009|104|Italy|Bronze,2,1,34607,14,2009,104,Italy,Bronze,308480;578148,
119124|50|2010|5|Algeria|,2,1,119124,50,2010,5,Algeria,,308482;578150,
37963|36|2011|104|Italy|Gold,2,1,37963,36,2011,104,Italy,Gold,308484;578152,
37964|34|2013|104|Italy|Gold,2,1,37964,34,2013,104,Italy,Gold,308487;578155,
37965|32|2013|104|Italy|,2,1,37965,32,2013,104,Italy,,308491;578159,
130277|54|2015|32|Bahrain|,2,1,130277,54,2015,32,Bahrain,,308498;578166,
73816|41|2016|159|Pakistan|,2,1,73816,41,2016,159,Pakistan,,308499;578167,
55674|24|1976|100|Iraq|,2,1,55674,24,1976,100,Iraq,,308500;578168,
73817|38|2014|159|Pakistan|,2,1,73817,38,2014,159,Pakistan,,308503;578171,
55122|22|2017|217|United Arab Republic|,2,1,55122,22,2017,217,United Arab Republic,,308504;578172,
145536|36|2015|124|Lebanon|,2,1,145536,36,2015,124,Lebanon,,308506;578174,
89634|43|1974|63|Egypt|,2,1,89634,43,1974,63,Egypt,,308508;578176,
91010|43|2019|159|Pakistan|,2,1,91010,43,2019,159,Pakistan,,308513;578180,EV500015
5545|18|1900|63|Egypt|,2,1,5545,18,1900,63,Egypt,,308516;578183,EV500040
19409|34|2019|131|Malaysia|,2,1,19409,34,2019,131,Malaysia,,308517;578184,EV500015
107903|45|2019|159|Pakistan|,2,1,107903,45,2019,159,Pakistan,,308519;578185,EV500015
113285|47|2003|16|Azerbaijan|,2,1,113285,47,2003,16,Azerbaijan,,308523;578189,
114563|47|2022|16|Azerbaijan|,2,1,114563,47,2022,16,Azerbaijan,,308524;578190,
145537|43|2023|16|Azerbaijan|,2,1,145537,43,2023,16,Azerbaijan,,308525;578191,
119936|50|2024|104|Italy|,2,1,119936,50,2024,104,Italy,,308526;578192,
90351|43|1902|104|Italy|,2,1,90351,43,1902,104,Italy,,308528;578193,EV500064
82102|43|1900|104|Italy|,2,1,82102,43,1900,104,Italy,,308530;578195,EV500040
128088|54|2027|99|Ireland|,2,1,128088,54,2027,99,Ireland,,308537;578200,
112669|47|2019|176|South Africa|,2,1,112669,47,2019,176,South Africa,,308541;578204,EV500015
9191|30|1985|38|Canada|,2,1,9191,30,1985,38,Canada,,308545;578205,
60465|41|1943|38|Canada|,2,1,60465,41,1943,38,Canada,,308546;578206,
129455|54|2031|223|United States|,2,1,129455,54,2031,223,United States,,308548;578208,
92054|43|1943|38|Canada|,2,1,92054,43,1943,38,Canada,,308551;578211,
110287|47|2034|130|Morocco|,2,1,110287,47,2034,130,Morocco,,308553;578213,
130852|54|2036|63|Egypt|,2,1,130852,54,2036,63,Egypt,,308565;578225,EV500132
31342|38|1987|63|Egypt|,2,1,31342,38,1987,63,Egypt,,308566;578226,EV500096
21450|38|1955|63|Egypt|,2,1,21450,38,1955,63,Egypt,,308576;578235,
107038|45|2040|223|United States|Silver,2,1,107038,45,2040,223,United States,Silver,308577;578236,
75921|24|2041|203|Tanzania|,2,1,75921,24,2041,203,Tanzania,,308578;578237,
29510|16|1920|63|Egypt|,2,1,29510,16,1920,63,Egypt,,308663;578322,
103692|45|2060|63|Egypt|,2,1,103692,45,2060,63,Egypt,,308672;578330,
133662|54|2036|63|Egypt|,2,1,133662,54,2036,63,Egypt,,308676;578334,EV500132
130810|54|2008|63|Egypt|,2,1,130810,54,2008,63,Egypt,,308677;578335,
110537|47|2055|63|Egypt|,2,1,110537,47,2055,63,Egypt,,308687;578344,
120614|50|1977|63|Egypt|,2,1,120614,50,1977,63,Egypt,,308688;578345,
114845|47|2039|63|Egypt|,2,1,114845,47,2039,63,Egypt,,308690;578347,
145559|45|2046|63|Egypt|,2,1,145559,45,2046,63,Egypt,,308696;578353,
