componente_evento,deporte,disciplina,eventos,nombres,fuentes,ediciones,participaciones_afectadas,deduplicaciones,razon_semantica
EV500076,fencing,fencing,410;2004;2732,"Foil, Team, Men (Olympic) | Fencing Men's Foil, Team | Men's Foil Team",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 50 | 54 | 58 | 61 | 7 | 8,4105,214,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500077,fencing,fencing,411;1957;2956,"Épée, Team, Men (Olympic) | Fencing Men's epee, Team | Men's Épée Team",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 54 | 58 | 6 | 61 | 7 | 8,5308,218,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500078,ice hockey,ice hockey,425;1913,"Ice Hockey, Men (Olympic) | Ice Hockey Men's Ice Hockey",fuente1 | fuente2 | fuente3 | fuente4,11 | 13 | 15 | 17 | 19 | 21 | 23 | 25 | 27 | 29 | 31 | 33 | 35 | 37 | 39 | 40 | 42 | 44 | 46 | 49 | 53 | 57 | 60 | 7 | 9,10159,3183,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500081,football,football,468;1954,"Football, Women (Olympic) | Football Women's Football",fuente1 | fuente2 | fuente3,41 | 43 | 45 | 47 | 50 | 54 | 58,3341,1177,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500091,shooting,shooting,509;2224,"Free Rifle, Three Positions, 300 metres, Men (Olympic) | Shooting Men's Free Rifle, Three Positions, 300 metres",fuente1 | fuente2 | fuente3,1 | 16 | 18 | 2 | 20 | 22 | 24 | 5 | 6 | 7,1130,146,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500092,shooting,shooting,510;2271,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic) | Shooting Men's Free Rifle, Three Positions, 300 metres, Team",fuente1 | fuente2 | fuente3,2 | 4 | 5 | 6 | 7,625,156,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500096,handball,handball,583;1987,"Handball, Men (Olympic) | Handball Men's Handball",fuente1 | fuente2 | fuente3,14 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58,6988,2464,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500102,rowing,rowing,626;2232;3063,"Double Sculls, Women (Olympic) | Rowing Women's Double Sculls | Women's Double Sculls",fuente1 | fuente2 | fuente3,30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,748,106,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500104,rowing,rowing,633;2011;3069,"Quadruple Sculls, Men (Olympic) | Rowing Men's Quadruple Sculls | Men's Quadruple Sculls",fuente1 | fuente2 | fuente3,30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,1725,250,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500105,rowing,rowing,634;2277;2820,"Single Sculls, Men (Olympic) | Rowing Men's Single Sculls | Men's Single Sculls",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,1477,180,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500106,rowing,rowing,635;2012;3061,"Double Sculls, Men (Olympic) | Rowing Men's Double Sculls | Men's Double Sculls",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61 | 7 | 8,1825,268,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
